row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
32,blob,92kxUXDsBQLy5ptGxtmH9CDYd5E6ZQynzf2eFPiUpump,9.33%,75.56%,286.4%,148,107.8K,5.3M,825.34,1823,15d,18.17%,0%,-,https://t.me/justablob,2024-11-22 02:22:39
33,Metformin,7w9gX1WBAYs6KnTd5oZdNNDS887YcBo4yScj66dUpump,41.51%,33.94%,215.7%,69,61.6K,1.1M,294.74,1670,1d,17.4%,0%,-,https://t.me/MetmorfinMet,2024-11-22 02:22:39
34,spinning cat,VaxZxmFXV8tmsd72hUn22ex6GFzZ5uq9DVJ5wA5pump,22.73%,46.02%,17.74%,57,33.9K,4.6M,799.24,2025,50d,19.75%,0%,-,https://t.me/OIIAOIIACTO,2024-11-22 02:22:39
35,fries in the bag bro,uto2Lz8BLvW7D8gkuXqtpWdxRTfsWiaETkn3Mvhpump,17.65%,103.7%,206%,160,103K,2.7M,557.52,2842,6h,17.42%,0%,-,,2024-11-22 02:22:39
36,Trump Shuffle,DueNdyyx5a1ZMeaZr5kSSK3BjM5ADnDmhnD8ya4R8pGE,15.95%,36.81%,64.77%,46,25.5K,2.4M,473.63,3372,3d,26.02%,0.22%,-,https://t.me/TrumpShuffle,2024-11-22 02:22:39
37,I like my sootcase,BUZFom1YPnAZVYSccbpddBmFYmHcS4Xtc3JQG5cFpump,11.02%,4.64%,89.41%,53,43.3K,3.3M,527.44,2153,2d,25.3%,0%,-,https://t.me/sootcasesol,2024-11-22 02:22:39
38,one unchill gal,7p2Rs9KkiWNKZkWNDFUCxG7EUBxbCByQC95fCNQ8pump,77.99%,77.43%,392.4%,170,128K,3.8M,552.41,2645,1d,14.94%,0%,-,https://t.me/galCTO,2024-11-22 02:22:39
39,my dog lucy,Cy7Nyi89q2HCt4wwxyLLJERNdjwBJVHJCnC8xGSQpump,,,,611,353.7K,1M,268.96,1665,1h,15.86%,0%,-,,2024-11-22 02:22:39
40,WINTER ARC,4j2gUEmfbSAacvSSd6yXo8yEzXCAUVeoXrqLVV3apump,15.71%,73.3%,1376.1%,915,223.2K,6.9M,990.41,8032,51d,14.2%,2.79%,-,https://t.me/winterarcsolana,2024-11-22 02:22:39
41,TikTok Official Coin,59WtMhHrTe4Sn9gfGNhFD5bQSTLjvykJPT3nTT2Dpump,,,,1086,766.4K,3.1M,611.26,5329,55min,12.68%,0%,-,,2024-11-22 02:22:39
42,hop cat,ECZxKmKGEkyKhYUau7WkUE1L9Jp2yLebwX4SnKc1pump,24.38%,126.9%,35.7%,283,229.8K,3.6M,583.74,2675,8d,19.98%,0%,-,https://t.me/hopcatctoxoxo,2024-11-22 02:22:39
43,I understand it now,C1ia2bYoa2V9sSGy9S5139nztQy6Uzz4gzYwuCkRpump,118.3%,244.2%,693.1%,228,315.3K,6.7M,702.89,2045,13d,17.81%,0%,-,https://t.me/understandonsol,2024-11-22 02:22:39
44,aetherAI,2LGzBCPRM8J3Ejo2udsXEvtkfC1NBr3Rg62MSkzV9PCF,17.84%,38.63%,48.74%,23,12K,1.2M,319.38,1547,7d,21.82%,1.05% Buy More,-,https://t.me/aetheraisolana,2024-11-22 02:22:39
45,unc status,Fydx7jRPVT7iJi8VNLCdXp1iH7KeqLj1bsuFHUAPpump,67.04%,172.4%,196%,104,69.5K,1.4M,342.32,1541,58d,22.14%,0%,-,,2024-11-22 02:22:39
46,Blobana pet,DgG9sM56ZcVidBV8bNArQPm93a2rmjzHkrrUntGSpump,24.23%,99999%,99999%,,,8.2M,927.03,3289,26min,16.05%,1.76%,-,https://t.me/blobana,2024-11-22 02:22:39
47,we go higher,EHRZ7UTweF6uoeVWtKCRXatss9nwbSPDY1tPBt2fpump,57.21%,69%,61.73%,224,134K,5.9M,697.98,8564,10d,15.39%,0%,-,https://t.me/euphoricjoin,2024-11-22 02:22:39
48,Naval AI,7wM4MnbsPsG95A3WhZgbrPWvMtydKmJjqKr2ZVJVpump,9.57%,17.28%,15.22%,463,965.9K,5.3M,874.56,4596,12d,19.69%,0.03% Sell Part,-,https://t.me/NavalMachine,2024-11-22 02:22:39
49,SOLCAT,2ktWX3CuNzRZD3N8xVKExQdLniTv2qQUqL7hFf5xpump,,,,810,111K,1.4M,332.71,8119,2h,4.08%,0.29%,-,https://t.me/solcatgames,2024-11-22 02:22:39
50,Tensorium,HHoXk7WursT9DLBBhHzBWBbuQkfvvoNyHKpJi61mpump,25.67%,95.82%,75.42%,100,101.3K,8M,800.28,2659,3d,21.72%,6.23% Buy More,-,,2024-11-22 02:22:39
51,Most Followed TikTok Bird,7ZWweKCCyVzWTToS1EuB3V3krTxz142KmcbbnUEypump,73.84%,7101%,7101%,860,331.7K,518.3K,147.57,1795,19min,13.41%,0%,-,,2024-11-22 02:22:39
52,Snake wif Hat,5EdKas4QsHaa71QS1X98wiCTgJCCVMjw5GhY5QMKpump,8.92%,18.21%,38.66%,41,9.6K,2M,397.13,2240,5d,19.2%,0.23% Buy More,-,https://t.me/snake_wif_hat,2024-11-22 02:22:39
53,Twiggy the water skiing squirrel,nY8XuFsMqM6UTUeubekYUTvvSmX695Zb1oG5EmDpump,66.13%,969.9%,824.7%,148,78.6K,2.4M,420.91,2612,5d,15.71%,0%,-,,2024-11-22 02:22:39
54,Science Cult Mascot,DRVM9vP5coW4WHsNv1kajhn55duyuua4cJ9NGkSApump,,,,1563,917.6K,1M,295.85,2420,17min,17.65%,1.93% Buy More,-,,2024-11-22 02:22:39
55,Amazon's First Dog Employee,Bm4UmeQcKp9vJ5empDBdD972FNaszUx2YtTSxsSApump,,,,233,102.7K,898.3K,234.77,1633,1h,22.37%,0%,-,,2024-11-22 02:22:39
56,Ozzy The Otter [R.I.P],DZqUytg6SUE7KSmSqmHJaJziZRBvmZPwinWsE1PHpump,6.61%,-11.51%,-13.53%,9,3.3K,979K,335.19,1532,5d,24.23%,0%,-,https://t.me/ozzytheotteronsol,2024-11-22 02:22:39
57,Hammer Of Justice,6xwmWkBheMwGLyuQjPN4WeHoK3QTGmWQtuknbFCSpump,390.7%,551.9%,518.9%,652,204.8K,958.9K,243.69,1599,5d,24.15%,0%,-,https://t.me/HammerSol,2024-11-22 02:22:39
58,Dubai Crown Prince New Dog,G748DbPu713PkumVJo4nXcXuyCTBYbhNQtMjjgzxpump,,,,1623,992.1K,2.2M,412.26,2514,29min,17.12%,0%,-,,2024-11-22 02:22:39
59,RWAX,AYaVtXCgRX4jQqsGkRBjSGFs92a5oz255EbwuJw1pump,12.06%,41.33%,287.9%,41,24.9K,2.3M,372.47,2684,1d,6.62%,0%,-,https://t.me/RWAX_meme,2024-11-22 02:22:39
60,PEPEAI,3cm8153dpZUnQmXFkQujKF2c8QmacxYYUxUC4UUgpump,0.98%,5.58%,38.94%,394,28.3K,1.2M,313.2,8786,1d,7.73%,0%,-,https://t.me/PEPE_AI_Solana,2024-11-22 02:22:39
61,Ant Super Computer,co3tFSmMrBJ1EVASmVMynMdu6g3UqWC2NwkezRNpump,,,,944,527.2K,2.4M,458.39,2891,27min,17.25%,1.76%,-,https://t.me/nuclearcomp,2024-11-22 02:22:39
62,Dogefather,EcYK2XNG4wWr2vDg2M2Hrts6SrU2QB4NzXLBf888pump,,,,,,7M,687.59,5645,35min,13.23%,0%,-,https://t.me/Dogefathersols,2024-11-22 02:22:39
63,The Society Library,7wUwkXo8Qjt3cYM8BaHHHeyfDY7ZSn7qvod92pNupump,23.42%,39.65%,26.86%,32,38.2K,8.9M,958.46,1856,22d,22.01%,0%,-,https://t.me/sl_coin_portal,2024-11-22 02:22:39
64,Marie Rose AI,7u9kr8ZCHnkeS2n46jVuyq6tUegAtaCUM52AQ1iARKP3,4.04%,25.28%,21.6%,48,18.4K,4M,607.61,1597,2d,20.18%,0.35% Remove Liquidity,-,https://t.me/marieportal,2024-11-22 02:22:39
65,Trump Shuffle,DueNdyyx5a1ZMeaZr5kSSK3BjM5ADnDmhnD8ya4R8pGE,16.27%,62.95%,383.2%,123,28.5K,1.6M,386.22,2209,2d,23.12%,0.22%,-,https://t.me/TrumpShuffle,2024-11-22 02:22:39
66,Griff,BhMQhVJw2g47GAEeHJHTCW5SD3pqCywWRrrFs7e2pump,,,,1565,597.9K,1.6M,321.79,2488,21min,14.59%,0%,-,https://t.me/griffsolana,2024-11-22 02:22:39
67,spencience,7hfP5T1rirsb1EhhLrRnsM8EN3FCaio7cmAwMdcypump,52.53%,142.6%,138.2%,204,141.4K,5.3M,738.37,2209,5d,16.25%,2.01% Buy More,-,,2024-11-22 02:22:39
68,shr00m,Dctsus1FAf1GUJ2mM1TeBL7k1Za7Xk9T34T5vRzvpump,8.68%,11.03%,28.91%,22,17.6K,4.1M,629.75,2001,1d,15.93%,0.02%,-,https://t.me/justshr00m,2024-11-22 02:22:39
69,Crime onchain,7M3gDRgozcumFsiTeXwjB8cYxpg7Q9R7rH7rkw2Fpump,50.86%,26.9%,402.7%,196,60.5K,5.5M,900.54,2495,7d,16.86%,1.54% Buy More,-,https://t.me/crimeonchain,2024-11-22 02:22:39
70,BAKKT,Hz4CJCpZky4YD75Zs2R2nBjP5wY6tYbraaT2hVZCpump,,,,2168,909.8K,3.7M,741.28,5354,1h,11.38%,0%,-,,2024-11-22 02:22:39
71,Bakkt Holdings Inc,GcH2fy7rKBSucKYwv4Af8SMxdrvqa7deT1zEyMFPpump,,,,,,4.6M,587.53,2802,21min,13.93%,0%,-,,2024-11-22 02:22:39
72,Arie The Sealion,4ZiYgt9nyPXvSfBWADGYHiWnTdnogrFgLTALdFWVpump,252.3%,266.6%,450.8%,,,18.9M,922.84,9213,9d,16.31%,0%,-,https://t.me/ariectosol,2024-11-22 02:22:39
73,Carrot,6kx78Yu19PmGjb9YbfP5nRUvFPY4kFcDKKmGpdSpump,23.99%,62.02%,200.8%,22,15.3K,3.8M,537.14,1579,10d,15.08%,0% Buy More,-,https://t.me/Carrots_portal,2024-11-22 02:22:39
74,Dark PNUT | The Chronicles,5ztN73tntZbv7JC6ZzmEfXmzaUvJm6UEgNjzEfTtpump,17.78%,120.1%,295.8%,189,238.4K,10.3M,918.5,2903,1d,15.96%,0.71%,-,,2024-11-22 02:22:39
75,Laila - Puma AI Ambassador,Fs3nEGChu1LG3K9qYMRoNSjW1rgzZSm99z4PR33Apump,,,,1597,840.8K,2M,378.78,2488,26min,14.05%,0.21% Sell Part,-,,2024-11-22 02:22:39
76,4-(2-Aminoethyl,5X742twtV5sf8ZnSWSZ3WhxHgR9wmVeQmvzpnK7Gpump,15.91%,28.84%,199.6%,62,21K,2.9M,548.99,2268,1d,17.6%,0%,-,https://t.me/DOPAMINE_PORTAL,2024-11-22 02:22:39
77,LONG,2HUDMBsnctpkQo2fdf6Z4ECrXhAJbemJ4NJr4X9Spump,48.56%,59.58%,65.97%,39,44.3K,4.1M,522.48,1509,6d,16.1%,1.6% Buy More,-,https://t.me/thetickerislong,2024-11-22 02:22:39
78,Peanut Husbulla,2Q3mARhGZ9Phiai1txGTXXJbN2eSxtcNXnXbfoexpump,22.81%,8917.9%,8917.9%,246,46.5K,1.3M,273.01,2077,34min,5.99%,1%,-,https://t.me/PHUSBsol,2024-11-22 02:22:39
79,CUTTLEFISHY,JC3MaSFiZcdDecxFhZKtfULxnkUp9DPxdgwYHWHNpump,,,,,,3.9M,428.13,1776,26min,28.19%,3.13%,-,,2024-11-22 02:22:39
80,FRUG,GmTH6V13rHVXeNdmDfh7VQeS2Lj9YWRKT5XjDEA2pump,3.8%,22.62%,62.31%,26,2.8K,823.3K,294.54,3493,65d,21.11%,0%,-,https://t.me/frugsolana,2024-11-22 02:22:39
81,1+1=2,CsDZteCUToQqZgods4BJTgVzb7pqgp1LCmhQ4sChpump,,,,845,246.7K,748.8K,216.35,1743,17min,16.19%,0%,-,,2024-11-22 02:22:39
82,Trump Official Dance Move,QcNnhASrCxLpkqndMvLJmBu8HAkdViZzdipBAoypump,13.77%,27.23%,183.3%,49,28.2K,5.3M,668.54,1843,6d,19.06%,0%,-,https://t.me/SHIMMYCTO,2024-11-22 02:22:39
83,ZOA AI,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,3.75%,31.61%,26.06%,60,52.2K,5.2M,858.31,2292,21d,18.56%,2.46%,-,http://t.me/ZOAAIBUNNYGIRL,2024-11-22 02:22:39
84,CIA'S AI MASCOT,9gzA3kSZvB25YwHj4JPfcx473KyZ6ZQZA59D9BiGpump,17.33%,78.01%,133.7%,31,17.7K,2M,413.37,1635,1d,23.9%,0%,-,,2024-11-22 02:22:39
85,GnosisGod,Be6mYmT59zuB98hY55aYecnBXRetZvQwe3KSypmbpump,26.56%,68%,729.6%,158,70.5K,2.2M,405.9,1633,1d,17.28%,0%,-,,2024-11-22 02:22:39
86,DEGEN8BALL,8iQCQd8TwARsBGyB7zUvEQqU3LCWXRFPmaKvyTPytPCP,102.8%,170%,142.5%,11,37.6K,2.2M,358.35,1684,7d,18.08%,1.01%,-,https://t.me/degen8ballai,2024-11-22 02:22:39
87,Bored Ape Yacht Club,6m7jFs2kaNrTWjFmdHCvvBeQoVxbhK76qBsvaYYCpump,,,,1895,501K,1.5M,270.41,1752,29min,10.15%,3.8%,-,https://t.me/bayc_legend,2024-11-22 02:22:39
88,Pengwin,ARXn3nwwPeGYD3dZWDbtDiDDRTYaW9PXtBKwGjLRpump,9.65%,22.44%,45.3%,6,8.1K,3.5M,503.64,3337,4d,21.89%,0%,-,https://t.me/pengwinportal,2024-11-22 02:22:39
89,First ThreeBody Coin,CS3g3FvMFTJ1pXS52x6ACrUKJRNXzGjTmuHuhqDBpump,,,,911,444.2K,1.8M,343.63,2550,47min,18.63%,3.45%,-,,2024-11-22 02:22:39
90,MIKA (zerebro gf,7fgkPfcSrv3WHfWegTrT1UFT4XhkNFhYeypyEiqepump,92.08%,285.3%,743.5%,542,219.5K,2M,513.37,1706,1d,25.96%,0%,-,,2024-11-22 02:22:39
91,SAMOI,FfYhzJ7j3rrs4m4i1wKy5Bz5aYW8mKEGq2rxChU3pump,122.7%,621%,538.4%,758,609.3K,1.5M,280.69,2136,1d,15.52%,0.04%,-,,2024-11-22 02:22:39
92,PUNK2317,Gpr4NTJPjS1bYf6HPSEGF4NQ3hf1Weze6esHmkTapump,,,,,,1.9M,335.9,1827,22min,19.32%,0.71%,-,,2024-11-22 02:22:39
93,lil cenat the hamster,3biQ7ugc5ZhM9NMsqpc2yuxTDQ9QEo7gCAgVfANQpump,,,,341,172.4K,1.1M,288.13,1774,1h,19.52%,0%,-,https://t.me/allcrazyb,2024-11-22 02:22:39
94,I AM ABOUT TO WALK INTO,2eZKhD3mewfLJ5hNFpmJRK49fsZit2FsfzQricd1pump,,,,858,470.2K,963.1K,242.57,1554,19min,16.45%,0%,-,,2024-11-22 02:22:39
95,BrahVerse,GgvFJw7eGMwVruF3kTYeuwiTGBx12buZxt6gG6FTpump,1202.4%,1290.3%,1123.7%,326,405K,2M,120.88,1629,15h,15.85%,0%,-,https://t.me/brahversesol,2024-11-22 02:22:39
96,qnn,HznwD5v8TQ8wuhigVcjiSa8jH6TUrrKQ4d3yg5xxGYkR,,,,1569,861.3K,2.8M,393.19,2714,33min,12.13%,0%,-,https://t.me/qnnsolana,2024-11-22 02:22:39
97,Cult Of Omega,8wF3WJt7FLrHvjRRpb9suPSsb27MQUNGYPwsCZLWpump,,,,1453,544.4K,2.5M,419.59,3072,34min,19.42%,0%,-,,2024-11-22 02:22:39
98,Slowpoke,4WaNgdg8hgvNLwUUCcBUcqdxXtED6kJ2QC76oa3Dpump,,,,348,82.8K,693K,227.24,1526,46min,19.16%,0%,-,,2024-11-22 02:22:39
99,AMC Mascot,DaK2dLpGWCEbRBEf3J1dqaHXLi8LMPnk7zovt8xpump,21.55%,1019.2%,682.9%,241,122.3K,2.4M,550.89,2745,17h,15.01%,0%,-,https://t.me/Clip_AMC,2024-11-22 02:22:39
100,DeSci,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,67.15%,250.1%,262%,1151,762.1K,7.9M,798.6,7102,1d,10.44%,0%,-,https://t.me/DeSci_Real_CTO,2024-11-22 02:22:39
101,Joe Rogan's Dog,F4Lyq5tJJGwEo1hhLweQPg6xG1aVKv4SZqAmDBQepump,36.55%,160.9%,2710.7%,263,122.3K,1.1M,265.65,1695,5h,23.16%,0%,-,https://t.me/JoeRoganDogSOL,2024-11-22 02:22:39
102,Just a chill guy,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,22.14%,64.88%,164.7%,77,56.6K,6.5M,719.7,2411,1d,17.76%,0%,-,,2024-11-22 02:22:39
103,Tamzen,AeBLk27VFF88WrH57C7WkQdGfaZfy74x8K2snoa6pump,,,,912,354K,1.2M,262.15,1955,48min,16.23%,0%,-,,2024-11-22 02:22:39
104,Ropirito,CtaVq7fp5xwYFenGQypqdK97LJhTD72GgRsY8e4Npump,5.77%,19.84%,21.86%,32,23.9K,7.1M,986.2,3732,5d,13%,0%,-,,2024-11-22 02:22:39
105,The Society Library,7wUwkXo8Qjt3cYM8BaHHHeyfDY7ZSn7qvod92pNupump,0.93%,21.78%,135.4%,72,15.4K,6.9M,917.64,1771,20d,22.37%,0%,-,https://t.me/sl_coin_portal,2024-11-22 02:22:39
106,🟥🟪🟦🟩🟨🟧,HwPtbFpd3VTe3tfyosoVtPf9WPuSk5gAKkN5xp6Npump,,,,749,323.1K,3M,493.06,4491,2h,19.62%,0%,-,,2024-11-22 02:22:39
107,MineTard AI,42yzLyxGDjD5RFFQFYNVy7Pzubz6QPCK7HFK52f1pump,49.72%,63.41%,276.8%,113,104.2K,6.3M,650.98,2230,4d,18.13%,1.76%,-,,2024-11-22 02:22:39
108,fur-nancial advisor,DQc6FTgu2HiB1PMUkHj8SATCtxsCeeMz5hiaqwk1pump,,,,,,5.5M,576.97,4185,32min,16.48%,0%,-,,2024-11-22 02:22:39
109,telos,7uPaoEq4TsLoszJrksWcqBetZsP6PnNzHmStRZnnpump,,,,1352,934K,3.9M,572.67,4353,47min,13.17%,0%,-,,2024-11-22 02:22:39
110,Mrs. Hazel Nut,6ACVBVRd53rbwmuqyf4KRfaByiHQ9xxFsQTS6xuHpump,,,,1202,740.1K,4.9M,612.42,4454,53min,17.76%,0%,-,https://t.me/MrsHazelNuts,2024-11-22 02:22:39
111,spencience,7hfP5T1rirsb1EhhLrRnsM8EN3FCaio7cmAwMdcypump,21.74%,26.38%,38.91%,35,53.2K,4.1M,644.7,2005,3d,15.79%,2.01% Buy More,-,,2024-11-22 02:22:39
112,goob,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,65.28%,77.87%,27.78%,102,54.5K,4.9M,686.77,1768,2d,22.26%,0%,-,https://t.me/goobctoportal,2024-11-22 02:22:39
113,loaf,CqQWGaNTWTvyjoiaVrHxvXsFfZmGsgYCLbU2XwQYARBB,,,,1124,423.1K,986.5K,233.21,2097,34min,13.88%,0%,-,https://t.me/loafsolanas,2024-11-22 02:22:39
114,Copepoda,CShCtn3nXcog5fHk8ABmLnc55TaP4h6x4ANNFxn5pump,,,,1115,343.8K,1.9M,321.58,2632,27min,12.21%,0%,-,,2024-11-22 02:22:39
115,ZOA AI,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,1.66%,-2.67%,26.84%,16,115.4K,4.5M,820.86,2229,20d,18.46%,2.46%,-,http://t.me/ZOAAIBUNNYGIRL,2024-11-22 02:22:39
116,wabbit,FeiEDFwX4p2uLBwGLWv8pfgNz97nPtPX5xM3unrLpump,,,,560,299K,1.8M,338.91,1520,31min,25.7%,3.29%,-,,2024-11-22 02:22:39
117,BOSSU,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,94.85%,63.23%,244.2%,209,102.3K,5M,855.78,3222,4d,15.07%,1.18% Buy More,-,https://t.me/bossuportal,2024-11-22 02:22:39
