row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
11,Chrystal,BgHqzJCeSREccnbHwfH5GvgxPTDaabYpvBhfeZRzpump,18.26%,91.94%,246.3%,63,45.8K,1.5M,419.17,2638,4d,20.04%,0%,-,https://t.me/ChrystalSolana,2024-11-21 09:09:09
12,EMOTIONAL DAMAGE,2rWYVYWYipvq6B5rCJm3PSaRsyS18d5zTnCHUD62pump,71.02%,4659%,9733.5%,229,99.9K,680.8K,229.12,1664,50min,21.74%,3.13%,-,,2024-11-21 09:09:09
13,EMOTIONAL DAMAGE,2rWYVYWYipvq6B5rCJm3PSaRsyS18d5zTnCHUD62pump,,,,232,99.3K,701.7K,229.12,1664,50min,21.74%,3.13%,-,,2024-11-21 09:09:09
14,Watashi Wa Star,SMX9s3Acc8haxyRHA364eSvFwNVEQSmAn19HBCXpump,,,,998,663K,2.9M,433.18,1980,24min,19.55%,1.76%,-,https://t.me/WatashiStarWa,2024-11-21 09:09:09
15,WHEN KNEE SURGERY IS TOMORROW,G4iW1MkMapQyJ7oUvQZ9HfLVMD3ziWkjDfYLk49epump,2.5%,102.2%,85.61%,71,23.1K,2M,430.63,1761,8d,19.07%,0.01%,-,https://t.me/KneeCtoSol,2024-11-21 09:09:09
16,Galaxy Gas,AQurQty75sBzr4k7tUvX6G3qHDd6Rtiz4BwzCgW7TP8X,50.06%,412.8%,250.4%,227,88.8K,1.4M,419.9,5151,76d,19.88%,0%,-,https://t.me/+IVtZeKokNGYyYjA1,2024-11-21 09:09:09
17,Homer Uchiha,C1SQapeS7oBbbcRj22MpXUtwcRSqBFFSHA7G12oGpump,29.19%,56%,101.2%,52,20.9K,3.6M,540.24,1578,2d,23.08%,0%,-,https://t.me/homeruchihasol,2024-11-21 09:09:09
18,DIDDY,5QQRKwnJsoy5MHbYvUe1zgtNUGhesQ5SErQvnAZgpump,53.31%,198.1%,1863.6%,1332,253.5K,2.3M,597.49,7800,43d,16.63%,0%,-,https://t.me/DiddyIsYourDadCTO,2024-11-21 09:09:09
19,GIGA PNUT,9fNdmReKKfEGic9RxzrB7Jvjg1aSNNfGfUWwEMi1pump,,,,417,109K,1.4M,318.34,5906,1h,5.65%,1%,-,https://t.me/gigapnutsol,2024-11-21 09:09:09
20,blob,92kxUXDsBQLy5ptGxtmH9CDYd5E6ZQynzf2eFPiUpump,9.33%,75.56%,286.4%,148,107.8K,5.3M,825.34,1823,15d,18.17%,0%,-,https://t.me/justablob,2024-11-21 09:09:09
21,Metformin,7w9gX1WBAYs6KnTd5oZdNNDS887YcBo4yScj66dUpump,41.51%,33.94%,215.7%,69,61.6K,1.1M,294.74,1670,1d,17.4%,0%,-,https://t.me/MetmorfinMet,2024-11-21 09:09:09
22,spinning cat,VaxZxmFXV8tmsd72hUn22ex6GFzZ5uq9DVJ5wA5pump,22.73%,46.02%,17.74%,57,33.9K,4.6M,799.24,2025,50d,19.75%,0%,-,https://t.me/OIIAOIIACTO,2024-11-21 09:09:09
23,fries in the bag bro,uto2Lz8BLvW7D8gkuXqtpWdxRTfsWiaETkn3Mvhpump,17.65%,103.7%,206%,160,103K,2.7M,557.52,2842,6h,17.42%,0%,-,,2024-11-21 09:09:09
24,Trump Shuffle,DueNdyyx5a1ZMeaZr5kSSK3BjM5ADnDmhnD8ya4R8pGE,15.95%,36.81%,64.77%,46,25.5K,2.4M,473.63,3372,3d,26.02%,0.22%,-,https://t.me/TrumpShuffle,2024-11-21 09:09:09
25,I like my sootcase,BUZFom1YPnAZVYSccbpddBmFYmHcS4Xtc3JQG5cFpump,11.02%,4.64%,89.41%,53,43.3K,3.3M,527.44,2153,2d,25.3%,0%,-,https://t.me/sootcasesol,2024-11-21 09:09:09
26,one unchill gal,7p2Rs9KkiWNKZkWNDFUCxG7EUBxbCByQC95fCNQ8pump,77.99%,77.43%,392.4%,170,128K,3.8M,552.41,2645,1d,14.94%,0%,-,https://t.me/galCTO,2024-11-21 09:09:09
27,my dog lucy,Cy7Nyi89q2HCt4wwxyLLJERNdjwBJVHJCnC8xGSQpump,,,,611,353.7K,1M,268.96,1665,1h,15.86%,0%,-,,2024-11-21 09:09:09
28,WINTER ARC,4j2gUEmfbSAacvSSd6yXo8yEzXCAUVeoXrqLVV3apump,15.71%,73.3%,1376.1%,915,223.2K,6.9M,990.41,8032,51d,14.2%,2.79%,-,https://t.me/winterarcsolana,2024-11-21 09:09:09
29,TikTok Official Coin,59WtMhHrTe4Sn9gfGNhFD5bQSTLjvykJPT3nTT2Dpump,,,,1086,766.4K,3.1M,611.26,5329,55min,12.68%,0%,-,,2024-11-21 09:09:09
30,hop cat,ECZxKmKGEkyKhYUau7WkUE1L9Jp2yLebwX4SnKc1pump,24.38%,126.9%,35.7%,283,229.8K,3.6M,583.74,2675,8d,19.98%,0%,-,https://t.me/hopcatctoxoxo,2024-11-21 09:09:09
31,I understand it now,C1ia2bYoa2V9sSGy9S5139nztQy6Uzz4gzYwuCkRpump,118.3%,244.2%,693.1%,228,315.3K,6.7M,702.89,2045,13d,17.81%,0%,-,https://t.me/understandonsol,2024-11-21 09:09:09
32,aetherAI,2LGzBCPRM8J3Ejo2udsXEvtkfC1NBr3Rg62MSkzV9PCF,17.84%,38.63%,48.74%,23,12K,1.2M,319.38,1547,7d,21.82%,1.05% Buy More,-,https://t.me/aetheraisolana,2024-11-21 09:09:09
33,unc status,Fydx7jRPVT7iJi8VNLCdXp1iH7KeqLj1bsuFHUAPpump,67.04%,172.4%,196%,104,69.5K,1.4M,342.32,1541,58d,22.14%,0%,-,,2024-11-21 09:09:09
34,Blobana pet,DgG9sM56ZcVidBV8bNArQPm93a2rmjzHkrrUntGSpump,24.23%,99999%,99999%,,,8.2M,927.03,3289,26min,16.05%,1.76%,-,https://t.me/blobana,2024-11-21 09:09:09
35,we go higher,EHRZ7UTweF6uoeVWtKCRXatss9nwbSPDY1tPBt2fpump,57.21%,69%,61.73%,224,134K,5.9M,697.98,8564,10d,15.39%,0%,-,https://t.me/euphoricjoin,2024-11-21 09:09:09
36,Naval AI,7wM4MnbsPsG95A3WhZgbrPWvMtydKmJjqKr2ZVJVpump,9.57%,17.28%,15.22%,463,965.9K,5.3M,874.56,4596,12d,19.69%,0.03% Sell Part,-,https://t.me/NavalMachine,2024-11-21 09:09:09
37,SOLCAT,2ktWX3CuNzRZD3N8xVKExQdLniTv2qQUqL7hFf5xpump,,,,810,111K,1.4M,332.71,8119,2h,4.08%,0.29%,-,https://t.me/solcatgames,2024-11-21 09:09:09
38,Tensorium,HHoXk7WursT9DLBBhHzBWBbuQkfvvoNyHKpJi61mpump,25.67%,95.82%,75.42%,100,101.3K,8M,800.28,2659,3d,21.72%,6.23% Buy More,-,,2024-11-21 09:09:09
