row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,message_timestamp,timestamp,fdv_surge_amount,fdv_surge_percent
10,Desmos,8A19wrGrEzofubsih7gPgbJSgi2FcRtauxMDxr2Fg7MZ,100.3%,52.73%,-30.93%,816,453.6K,2.1M,520.39,6557,1d,1.17%,Add Liquidity,-,https://t.me/Desmos_Portal,2024-12-03 11:57:52,2024-12-04 10:41:44,1,+100.3%
11,Desmos,8A19wrGrEzofubsih7gPgbJSgi2FcRtauxMDxr2Fg7MZ,32.87%,-14.11%,-71.19%,1110,203.9K,1.1M,360.9,7014,1d,3.52%,Add Liquidity,-,https://t.me/Desmos_Portal,2024-12-03 11:27:46,2024-12-04 10:41:44,265.7K,+32.87%
12,Desmos,8A19wrGrEzofubsih7gPgbJSgi2FcRtauxMDxr2Fg7MZ,53.4%,17.05%,-38.13%,1204,309.7K,1.8M,421.21,9937,23h,3.1%,Add Liquidity,-,https://t.me/Desmos_Portal,2024-12-03 10:51:33,2024-12-04 10:41:44,619.4K,+53.4%
13,Desmos,8A19wrGrEzofubsih7gPgbJSgi2FcRtauxMDxr2Fg7MZ,39.7%,-27.17%,-35%,942,282.8K,1.8M,445.41,11639,23h,3.01%,Add Liquidity,-,https://t.me/Desmos_Portal,2024-12-03 10:20:30,2024-12-04 10:41:44,519.1K,+39.7%
14,Desmos,8A19wrGrEzofubsih7gPgbJSgi2FcRtauxMDxr2Fg7MZ,34.35%,-60.28%,-46.48%,973,248.2K,1.3M,360.57,13272,22h,2.02%,Add Liquidity,-,https://t.me/Desmos_Portal,2024-12-03 09:42:42,2024-12-04 10:41:44,339.4K,+34.35%
15,POPNUT CTO,EYzxsfZfGJetbEx9WgtgckJWCeWjcKp149MvUqgBpump,166.5%,1334.3%,1334.3%,1029,183.9K,212K,118.94,416,3min,3.42%,,-,,2024-12-03 09:27:34,2024-12-04 10:41:44,96.8K,+141.9%
16,Desmos,8A19wrGrEzofubsih7gPgbJSgi2FcRtauxMDxr2Fg7MZ,30.15%,-45.44%,-16.16%,728,73.1K,2.6M,516.19,13214,21h,1.83%,Add Liquidity,-,https://t.me/Desmos_Portal,2024-12-03 08:59:14,2024-12-04 10:41:44,601.9K,+30.15%
17,Meowy Catmas,9RDAN76FDMGbzvnDpouXXEJVDc9P2u5JvSnvcxxQgYce,44.94%,-75.33%,-87.51%,533,246.9K,4.9M,477.03,21933,12h,1.23%,Add Liquidity,-,,2024-12-03 08:10:24,2024-12-04 10:41:44,1.4,+40.02%
18,Just a chill Ernie,EQx13QSUE7ix3ecBPE8YDcEsPJju6PmmrzfZEh3fpump,34.65%,638%,9162.3%,539,182.4K,694.7K,230.74,1057,57min,3.29%,0%,-,https://t.me/ChillErnie,2024-12-03 07:50:58,2024-12-04 10:41:44,180.2K,+35.02%
19,Desmos,8A19wrGrEzofubsih7gPgbJSgi2FcRtauxMDxr2Fg7MZ,40.62%,-14.06%,-5.91%,512,271.7K,2.8M,498.31,10987,20h,3.43%,Add Liquidity,-,https://t.me/Desmos_Portal,2024-12-03 07:22:43,2024-12-04 10:41:44,756.2K,+38.01%
20,Meowy Catmas,9RDAN76FDMGbzvnDpouXXEJVDc9P2u5JvSnvcxxQgYce,55.19%,-39.28%,-51.18%,590,753.2K,21.1M,988.84,21008,11h,0.9%,Add Liquidity,-,,2024-12-03 07:01:55,2024-12-04 10:41:44,7.5,+55.61%
21,Desmos,8A19wrGrEzofubsih7gPgbJSgi2FcRtauxMDxr2Fg7MZ,39.27%,12.39%,18.97%,502,277.9K,3.6M,580.99,10591,19h,3.67%,Add Liquidity,-,https://t.me/Desmos_Portal,2024-12-03 06:42:38,2024-12-04 10:41:44,1,+39.27%
22,bobby,9SXzAFYQa8sh2pf3qpShH4dJprq5vPSrpnMXZgkCBJpS,31.38%,8.63%,-4.67%,550,253K,4.8M,894.12,15636,10h,1.35%,Add Liquidity,-,,2024-12-03 04:40:42,2024-12-04 10:41:44,1.2,+31.38%
23,Rizz and Morty,895FZv5WF4jFFc7pundkrsDXDN2ermpsznAia8GtTTXy,34.81%,75.67%,-17.32%,501,132.3K,1M,601.76,8266,12h,1.72%,Add Liquidity,-,,2024-12-03 03:56:23,2024-12-04 10:41:44,241.2K,+32.13%
24,MOMOplanet,4BqaJAG4Xeb7MVCAeEB9aCMGjPGN2KseNXbJko82wUCq,30%,-1.46%,2751.2%,521,230.4K,9.6M,833.13,15274,5h,0.66%,Add Liquidity,-,,2024-12-03 03:26:16,2024-12-04 10:41:44,2.2,+30%
25,Rizz and Morty,895FZv5WF4jFFc7pundkrsDXDN2ermpsznAia8GtTTXy,36.77%,31.28%,-43.38%,537,331.2K,726.9K,575.03,8170,12h,2.18%,Add Liquidity,-,,2024-12-03 03:22:03,2024-12-04 10:41:44,195.4K,+36.77%
26,Rizz and Morty,895FZv5WF4jFFc7pundkrsDXDN2ermpsznAia8GtTTXy,35.36%,5.63%,-17.99%,536,234.9K,1.5M,793.34,7764,10h,2.41%,Add Liquidity,-,,2024-12-03 01:22:47,2024-12-04 10:41:44,380.4K,+34.2%
27,Jake,GNAzuHrhyXyxi3cP8g22wMxCzoKszMTKuqSRZ2CgRvjp,32.86%,-42.18%,225.8%,502,168.1K,544.2K,880.38,1883,4h,1.68%,Add Liquidity,-,,2024-12-03 00:22:19,2024-12-04 10:41:44,134.6K,+32.86%
28,DOMO,X5xEg6fQhHVxf55ZJrjpaPys266NdfzEAXZcccqTCt1,28.97%,-41.68%,-76.81%,796,294.4K,2.8M,513.1,14867,11h,2.49%,Add Liquidity,-,https://t.me/DOMO_Official,2024-12-02 16:37:57,2024-12-04 10:41:44,684.3K,+31.73%
29,DOMO,X5xEg6fQhHVxf55ZJrjpaPys266NdfzEAXZcccqTCt1,41.8%,-50.11%,-77.67%,651,307K,3.1M,508.28,16118,11h,2.24%,Add Liquidity,-,https://t.me/DOMO_Official,2024-12-02 16:06:24,2024-12-04 10:41:44,891.9K,+40.12%
30,DeHive,F9aRsfFBxqdLw3afTFaof7wmTsAbbssy2YNou5yqpH5j,32.59%,-49.95%,-77.58%,513,146K,519.7K,272.68,4258,13h,2.52%,Add Liquidity,-,https://t.me/DeHive_Portal,2024-12-02 15:59:09,2024-12-04 10:41:44,127.7K,+32.59%
31,Oxtrich,FHBBqHMkoXAzgUckLXLJyn6tLfAWxseFHKHQMAb9v3kP,34.97%,-2.02%,-42.98%,583,173.8K,3.7M,519.74,22217,14h,1.2%,0%,-,https://t.me/Oxtrich_Portal_official,2024-12-02 15:45:29,2024-12-04 10:41:44,959.5K,+34.97%
32,Rizzler,EGdyjhiUJ13e9o8ALYUFLsTzk8oQTzb2wFhCfZ95Jjk7,32.43%,24.08%,-50.09%,823,100.1K,755.5K,304.79,11351,11h,3.92%,Add Liquidity,-,https://t.me/Rizzler_Portal,2024-12-02 15:41:18,2024-12-04 10:41:44,185K,+32.43%
33,DeHive,F9aRsfFBxqdLw3afTFaof7wmTsAbbssy2YNou5yqpH5j,31.6%,-19.57%,-73.43%,706,129.6K,1.2M,378.67,13840,11h,2.56%,Add Liquidity,-,https://t.me/DeHive_Portal,2024-12-02 14:31:52,2024-12-04 10:41:44,274.3K,+30.05%
34,beedog,FF7qCnjfZo6CbedXkb6ZjqJt39KtvQjY6NjCns5RJzim,32.09%,31.78%,-64.14%,509,88.8K,1.9M,455.07,19815,14h,1.81%,Add Liquidity,-,https://t.me/beedog_Portal,2024-12-02 11:13:00,2024-12-04 10:41:44,463.4K,+31.99%
35,N-word pass,HfH3o1JQsqWk6spVPv79j8kcyuVdhb2CtR5LEpiqMpAF,25.58%,-21.9%,-83.84%,523,129.7K,2.3M,468.55,22937,14h,1.42%,Add Liquidity,-,https://t.me/N_wordpass,2024-12-02 10:46:11,2024-12-04 10:41:44,596.9K,+32.3%
36,F•R•E•N•S,9Ph8bpC2Dw6Xk2wCL2B2mmqTY2aoBTsseKG6WYL9JGS1,28.16%,-28.88%,-67.12%,747,86.8K,307.5K,168.02,8859,16h,1.46%,Add Liquidity,-,https://t.me/FRENS_ON_SOL,2024-12-02 03:12:22,2024-12-04 10:41:44,75.6K,+31.52%
37,F•R•E•N•S,9Ph8bpC2Dw6Xk2wCL2B2mmqTY2aoBTsseKG6WYL9JGS1,33.04%,15.92%,30.18%,695,156.3K,1.1M,275.99,7732,13h,0.97%,Add Liquidity,-,https://t.me/FRENS_ON_SOL,2024-12-02 00:34:58,2024-12-04 10:41:44,268.5K,+33.04%
38,F•R•E•N•S,9Ph8bpC2Dw6Xk2wCL2B2mmqTY2aoBTsseKG6WYL9JGS1,30.81%,7.71%,-4.39%,565,117.7K,1.1M,279.03,6968,13h,2.13%,Add Liquidity,-,https://t.me/FRENS_ON_SOL,2024-12-01 23:42:53,2024-12-04 10:41:44,264.1K,+30.3%
39,POPNUT,7pnmPg7C1nA3x4455TKw5YSSdfSdTmKRiwhxbKy6pump,35.14%,36.98%,6482.6%,512,123.8K,1.7M,342.73,18413,2h,3.44%,0%,-,https://t.me/PopnutSolana,2024-12-01 21:50:47,2024-12-04 10:41:44,434.2K,+35.14%
40,Avocado,4UZy7CGbwoSoTyPEEiDKhtZXXL9i2PBD8URmrbEHhtzV,39.17%,-31.51%,-68.69%,781,147.2K,1.2M,317.36,8429,10h,2.7%,Add Liquidity,-,https://t.me/Avocado_portal,2024-12-01 21:11:49,2024-12-04 10:41:44,348.7K,+39.5%
41,Avocado,4UZy7CGbwoSoTyPEEiDKhtZXXL9i2PBD8URmrbEHhtzV,40.05%,21.63%,-43.18%,523,142.5K,1.9M,364.68,8165,10h,1.29%,Add Liquidity,-,https://t.me/Avocado_portal,2024-12-01 20:39:13,2024-12-04 10:41:44,546.9K,+40.05%
42,Hatsune Miku,CN9ym3t5R6wmuHNxs8ovqNPvY9zBYiWJoFS11FJ6HrPP,30.68%,-41.8%,469.3%,501,99.9K,1.6M,337.02,7896,2h,1.69%,Add Liquidity,-,https://t.me/Hatsune_Miku_Portal,2024-12-01 19:43:43,2024-12-04 10:41:44,384K,+31.01%
43,Why Duck?,954rQDqw32oGzuzvU5AmvzKfUJvQGDbFztNuu8Q8DoP6,34.15%,-53.62%,-88.4%,544,33.2K,231.2K,165.26,8588,16h,2.43%,Add Liquidity,-,https://t.me/Why_Duck_Portal,2024-12-01 15:06:44,2024-12-04 10:41:44,58.9K,+34.15%
44,Star of Bethlehem,9KJFKXrikEPjoXmfUSxJWHSc9DEeczhK3BLYCtcTPnK7,30.78%,-54%,123.3%,619,45.1K,422.4K,190.55,6782,4h,3.1%,Add Liquidity,-,https://t.me/SB_Portal_ONSOL,2024-12-01 14:53:47,2024-12-04 10:41:44,99.4K,+30.78%
45,STIMMINGCAT,4bGxfZK7JdCDtHGBY8eWDbcrXynDrHTrfj7GKdCLpump,32.48%,1882.8%,1882.8%,1512,349.4K,503.6K,211.13,804,40min,3.97%,0%,-,,2024-12-01 13:43:19,2024-12-04 10:41:44,123.5K,+32.48%
46,Boba,DTz2QgVEmBfYaSWrEU8UVWSWerr2ytkdunZAXbnDpump,40.57%,1568.8%,1568.8%,1557,311.6K,423.8K,181.58,820,36min,3.97%,0%,-,,2024-12-01 13:41:26,2024-12-04 10:41:44,119.5K,+39.62%
47,PSY,8Wcx2nJsCB386PKQhdrNDEWXX6uZa7eLKaHWxS83Kg24,45.95%,1897%,1897%,1622,332.6K,507.3K,198.12,810,32min,3.97%,0%,-,,2024-12-01 13:22:33,2024-12-04 10:41:44,152.4K,+43.85%
48,Ginger Cat,9WF5fEiDwnisJPNn5Bjs85poH7B6ZTPDEuhYaRkPpump,34%,1023.1%,1023.1%,1617,377K,284.7K,149.5,814,32min,3.97%,0%,-,,2024-12-01 12:26:24,2024-12-04 10:41:44,72.2K,+34%
49,Why Duck?,954rQDqw32oGzuzvU5AmvzKfUJvQGDbFztNuu8Q8DoP6,32.07%,-25.98%,-49.86%,640,128K,1.8M,393.87,17234,10h,1.88%,Add Liquidity,-,https://t.me/Why_Duck_Portal,2024-12-01 09:48:00,2024-12-04 10:41:44,428.7K,+32.07%
50,Imoko Iimo,GAWtQwPoVdT5FKB9PAhTdkSrt24QNQYgizKSPS9Kf2z1,35.47%,12.88%,-72.53%,652,141.8K,2M,413.4,16848,10h,1.89%,Add Liquidity,-,https://t.me/Imoko_Iimo,2024-12-01 08:05:26,2024-12-04 10:41:44,513.3K,+35.47%
51,Pepe Never Cry,DVU2wHJZthgEXT2yxzfxkyEeH8gTYQ1oGN65yH7RG4Au,44.16%,93.62%,-79.05%,541,135.9K,652.5K,282.92,7395,13h,0.8%,Add Liquidity,-,https://t.me/Pepe_Never_Cry,2024-12-01 07:19:39,2024-12-04 10:41:44,217.4K,+49.95%
52,Phantom Mascot,3ALKRta4SvX8RK11YkEeC35TMi1bii4u68iv8cYrwXcW,78.63%,-45.03%,-52.04%,549,191.1K,912.8K,333.46,8379,15h,1.28%,Add Liquidity,-,https://t.me/Phantom_Mascot_Portal,2024-12-01 07:18:34,2024-12-04 10:41:44,401.8K,+78.63%
53,Phantom Mascot,3ALKRta4SvX8RK11YkEeC35TMi1bii4u68iv8cYrwXcW,27.98%,59.13%,-69.51%,530,204.7K,841.8K,326.55,7297,14h,2.08%,Add Liquidity,-,https://t.me/Phantom_Mascot_Portal,2024-12-01 06:48:26,2024-12-04 10:41:44,201.5K,+31.46%
54,Pepe Never Cry,DVU2wHJZthgEXT2yxzfxkyEeH8gTYQ1oGN65yH7RG4Au,105%,0.44%,-84.76%,532,145.8K,646.6K,282.18,6075,13h,1.22%,Add Liquidity,-,https://t.me/Pepe_Never_Cry,2024-12-01 06:43:34,2024-12-04 10:41:44,319.3K,+101.2%
55,Christmas Mascot,DY5Qs3zJyrU6S1GsK19reNmkz1sd7oVEFuZQTQt9tGjq,33.22%,-15.39%,-83.37%,503,127.5K,520.8K,289.06,7762,18h,1.83%,Add Liquidity,-,https://t.me/Christmas_Mascot,2024-12-01 06:39:59,2024-12-04 10:41:44,129.9K,+33.22%
56,Pepe Never Cry,DVU2wHJZthgEXT2yxzfxkyEeH8gTYQ1oGN65yH7RG4Au,30.92%,-39.18%,-83.75%,791,152K,623.3K,251.43,4970,12h,2.71%,Add Liquidity,-,https://t.me/Pepe_Never_Cry,2024-12-01 06:13:28,2024-12-04 10:41:44,147.2K,+30.92%
57,Phantom Mascot,3ALKRta4SvX8RK11YkEeC35TMi1bii4u68iv8cYrwXcW,30.01%,18.3%,-79.18%,590,62.1K,770K,297.56,14108,13h,3.2%,Add Liquidity,-,https://t.me/Phantom_Mascot_Portal,2024-12-01 05:36:31,2024-12-04 10:41:44,177.7K,+30.01%
58,Christmas Mascot,DY5Qs3zJyrU6S1GsK19reNmkz1sd7oVEFuZQTQt9tGjq,32.56%,26.91%,-58.15%,557,84.5K,1.6M,379.35,16105,16h,1.95%,Add Liquidity,-,https://t.me/Christmas_Mascot,2024-12-01 05:12:06,2024-12-04 10:41:44,388.4K,+32.56%
59,Pepe Never Cry,DVU2wHJZthgEXT2yxzfxkyEeH8gTYQ1oGN65yH7RG4Au,34.06%,26.85%,-64.05%,516,84.4K,1.5M,367.01,17209,11h,1.91%,Add Liquidity,-,https://t.me/Pepe_Never_Cry,2024-12-01 05:05:17,2024-12-04 10:41:44,376.6K,+34.06%
60,Phantom Mascot,3ALKRta4SvX8RK11YkEeC35TMi1bii4u68iv8cYrwXcW,30.27%,-32.41%,-83%,511,54.5K,783.7K,289.95,16694,12h,2.36%,Add Liquidity,-,https://t.me/Phantom_Mascot_Portal,2024-12-01 04:01:20,2024-12-04 10:41:44,182.1K,+30.27%
61,Wrapped CHILLGUY,Cn2XEX5yQFVC31VpXJkeEXNqWy7c4hdQAsitCHqDLmAU,32.28%,-25.54%,-79.85%,794,85.7K,833.8K,313.69,16231,15h,3.76%,Add Liquidity,-,https://t.me/WrappedCHILLGUY_Portal,2024-12-01 02:43:12,2024-12-04 10:41:44,193.5K,+30.22%
62,Wrapped CHILLGUY,Cn2XEX5yQFVC31VpXJkeEXNqWy7c4hdQAsitCHqDLmAU,30.05%,25.93%,-67.67%,519,73.5K,1.7M,441.32,17299,14h,3.73%,Add Liquidity,-,https://t.me/WrappedCHILLGUY_Portal,2024-12-01 02:06:22,2024-12-04 10:41:44,392K,+30.05%
63,MAXX,a3QBYV7oHacPMuF6jzWXoUkiNY6bdTxP6qYko2Wpump,43.68%,39.75%,848.8%,1183,183.5K,242.5K,149.27,841,1h,3.97%,0%,-,,2024-12-01 01:30:48,2024-12-04 10:41:44,59.7K,+33.21%
64,Wrapped CHILLGUY,Cn2XEX5yQFVC31VpXJkeEXNqWy7c4hdQAsitCHqDLmAU,34.91%,76.15%,-66.47%,502,78.3K,1.4M,399.79,18291,13h,3.75%,Add Liquidity,-,https://t.me/WrappedCHILLGUY_Portal,2024-12-01 01:00:12,2024-12-04 10:41:44,364.1K,+34.91%
65,Wrapped CHILLGUY,Cn2XEX5yQFVC31VpXJkeEXNqWy7c4hdQAsitCHqDLmAU,31.65%,-60.24%,-82.4%,563,66.4K,940.4K,325.33,19822,12h,3.91%,Add Liquidity,-,https://t.me/WrappedCHILLGUY_Portal,2024-12-01 00:11:05,2024-12-04 10:41:44,226.1K,+31.65%
66,Wrapped CHILLGUY,Cn2XEX5yQFVC31VpXJkeEXNqWy7c4hdQAsitCHqDLmAU,30.33%,50.44%,-34.45%,642,138.5K,2.7M,528.55,21521,11h,3.37%,Add Liquidity,-,https://t.me/WrappedCHILLGUY_Portal,2024-11-30 23:34:05,2024-12-04 10:41:44,629.8K,+30.33%
67,Phantom Mascot,3ALKRta4SvX8RK11YkEeC35TMi1bii4u68iv8cYrwXcW,28.43%,-49.66%,-84.21%,502,123.7K,2.3M,510.26,15447,7h,2.02%,Add Liquidity,-,https://t.me/Phantom_Mascot_Portal,2024-11-30 23:01:40,2024-12-04 10:41:44,622.5K,+35.2%
68,Christmas Mascot,DY5Qs3zJyrU6S1GsK19reNmkz1sd7oVEFuZQTQt9tGjq,32.11%,-40.14%,36.82%,585,117.2K,2.1M,459.15,16816,10h,3.05%,Add Liquidity,-,https://t.me/Christmas_Mascot,2024-11-30 22:58:09,2024-12-04 10:41:44,519.1K,+32.11%
69,Wrapped CHILLGUY,Cn2XEX5yQFVC31VpXJkeEXNqWy7c4hdQAsitCHqDLmAU,35.57%,-58.37%,-49.32%,801,102.8K,1.4M,382.84,21929,11h,3.38%,Add Liquidity,-,https://t.me/WrappedCHILLGUY_Portal,2024-11-30 22:55:47,2024-12-04 10:41:44,331.3K,+31.92%
70,Wrapped CHILLGUY,Cn2XEX5yQFVC31VpXJkeEXNqWy7c4hdQAsitCHqDLmAU,32.48%,-11.45%,-9.77%,510,120.4K,3.5M,597.23,22328,10h,2.16%,Add Liquidity,-,https://t.me/WrappedCHILLGUY_Portal,2024-11-30 22:08:02,2024-12-04 10:41:44,856.3K,+32.48%
71,Christmas Mascot,DY5Qs3zJyrU6S1GsK19reNmkz1sd7oVEFuZQTQt9tGjq,33.25%,-17.31%,-63.91%,538,139.1K,3M,510.75,13669,7h,3%,Add Liquidity,-,https://t.me/Christmas_Mascot,2024-11-30 20:30:41,2024-12-04 10:41:44,747.7K,+33.25%
72,Wrapped CHILLGUY,Cn2XEX5yQFVC31VpXJkeEXNqWy7c4hdQAsitCHqDLmAU,31.17%,-25.48%,-41.04%,537,152.4K,3.5M,595.39,20697,8h,2.37%,Add Liquidity,-,https://t.me/WrappedCHILLGUY_Portal,2024-11-30 20:30:23,2024-12-04 10:41:44,831.9K,+31.17%
73,KOYA,HGW9fbnC7RDNPAe5NJdyh9qvJ6EkYafMm5Bh8Hh9gu4d,29.79%,-30.35%,61.73%,769,95.6K,664.1K,329.67,12487,23h,3.29%,Add Liquidity,-,https://t.me/KOYA_Portal,2024-11-30 20:28:57,2024-12-04 10:41:44,163.7K,+32.71%
74,KOYA,HGW9fbnC7RDNPAe5NJdyh9qvJ6EkYafMm5Bh8Hh9gu4d,33.51%,82.42%,137.4%,523,107.2K,1.2M,398.09,11791,20h,2.34%,Add Liquidity,-,https://t.me/KOYA_Portal,2024-11-30 17:35:36,2024-12-04 10:41:44,296.4K,+33.51%
75,Wrapped CHILLGUY,Cn2XEX5yQFVC31VpXJkeEXNqWy7c4hdQAsitCHqDLmAU,32.66%,-42.41%,619.1%,604,141.4K,2.2M,457.06,14601,5h,2.54%,Add Liquidity,-,https://t.me/WrappedCHILLGUY_Portal,2024-11-30 17:15:37,2024-12-04 10:41:44,531.5K,+32.66%
76,KOYA,HGW9fbnC7RDNPAe5NJdyh9qvJ6EkYafMm5Bh8Hh9gu4d,31.75%,17.15%,-36.15%,531,53.3K,342K,218.61,10055,18h,1.61%,Add Liquidity,-,https://t.me/KOYA_Portal,2024-11-30 16:00:30,2024-12-04 10:41:44,82.4K,+31.75%
77,Wrapped CHILLGUY,Cn2XEX5yQFVC31VpXJkeEXNqWy7c4hdQAsitCHqDLmAU,38.71%,-0.3%,1205.5%,522,153.8K,3.9M,512.51,11323,4h,1.94%,Add Liquidity,-,https://t.me/WrappedCHILLGUY_Portal,2024-11-30 16:00:03,2024-12-04 10:41:44,1.1,+39.73%
78,Anatoly Yakovenko,375yDTX692JNSEDDcBbpe2XZffuinama7m2V5s74hCh1,29.55%,-53.7%,-77.42%,852,44.4K,226.1K,129.01,5591,7h,3.6%,Add Liquidity,-,https://t.me/Anatoly_Yakovenko_Portal,2024-11-30 15:52:37,2024-12-04 10:41:44,52.7K,+30.43%
79,Queen Never Cry,AtznV89FNMmJ1GX9abhYMTJUrnDENSc5xqrwf3qDVwzm,31.8%,-67.26%,-87.71%,502,44K,278.2K,186.65,10513,17h,1.75%,Add Liquidity,-,https://t.me/Queen_Never_Cry_Portal,2024-11-30 15:15:54,2024-12-04 10:41:44,67.1K,+31.8%
80,KOYA,HGW9fbnC7RDNPAe5NJdyh9qvJ6EkYafMm5Bh8Hh9gu4d,30.61%,-8.49%,-61.69%,621,50.4K,250.2K,182.9,9569,17h,2.26%,Add Liquidity,-,https://t.me/KOYA_Portal,2024-11-30 14:56:58,2024-12-04 10:41:44,60.8K,+31.96%
81,KOYA,HGW9fbnC7RDNPAe5NJdyh9qvJ6EkYafMm5Bh8Hh9gu4d,33.84%,-48.34%,-63.62%,559,57.6K,262.8K,182.32,7647,15h,1.54%,Add Liquidity,-,https://t.me/KOYA_Portal,2024-11-30 12:33:57,2024-12-04 10:41:44,66.4K,+33.84%
82,Takadabear,2omhTBihbhDqoHkyiZzc2RUEW9yn1MB7CE5Ne7eXAdRM,32.02%,-46.84%,134.7%,604,45.2K,361.9K,160.45,6690,4h,3.04%,Add Liquidity,-,https://t.me/Takadabear_Portal,2024-11-30 10:59:57,2024-12-04 10:41:44,87.8K,+32.02%
83,NestaAnimations,9xFt9qfAgyofUBNfw6SZprF4mdo1XuuqHC6Yy68ypump,72.25%,1369.5%,1369.5%,1680,377.8K,384K,174.53,781,32min,3.97%,0%,-,,2024-11-30 10:06:07,2024-12-04 10:41:44,161.1K,+72.25%
84,KOYA,HGW9fbnC7RDNPAe5NJdyh9qvJ6EkYafMm5Bh8Hh9gu4d,99.46%,98.44%,-25.38%,509,167.2K,981.3K,335.34,6605,11h,2.78%,Add Liquidity,-,https://t.me/KOYA_Portal,2024-11-30 08:45:39,2024-12-04 10:41:44,489.3K,+99.46%
85,Yuuki,Dm2fYaaxXcc1wcXsd8VqTXz3S14KJ7RXxvBt5ncBpump,38.75%,1912.3%,1912.3%,1733,391.5K,522.6K,200.51,801,33min,3.97%,0%,-,,2024-11-30 07:33:07,2024-12-04 10:41:44,146K,+38.75%
86,CHILLMOODENG,3deByRp4FNfycBVHez5wvKsUXYPV6wuPx9CqhT5iwuWA,40.29%,-12.55%,-88.85%,515,141.1K,435.8K,223.28,5536,13h,1.82%,Add Liquidity,-,https://t.me/CHILLMOODENG_Portal,2024-11-30 05:15:32,2024-12-04 10:41:44,125.1K,+40.29%
87,CHILLMOODENG,3deByRp4FNfycBVHez5wvKsUXYPV6wuPx9CqhT5iwuWA,31.16%,-14.26%,-84.8%,524,170.7K,671.1K,254.02,4559,12h,1.94%,Add Liquidity,-,https://t.me/CHILLMOODENG_Portal,2024-11-30 04:41:18,2024-12-04 10:41:44,159.4K,+31.16%
88,Floppy,EqkNrtU7uoauqEqSkJAmsst1vP3xAA25SeyCDQcEpump,31.03%,1184.1%,1184.1%,1194,385.6K,331.5K,163.14,896,36min,3.97%,0%,-,,2024-11-30 02:25:52,2024-12-04 10:41:44,94.5K,+37.37%
