row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
15,Laila - Puma AI Ambassador,Fs3nEGChu1LG3K9qYMRoNSjW1rgzZSm99z4PR33Apump,,,,1597,840.8K,2M,378.78,2488,26min,14.05%,0.21% Sell Part,-,,2024-11-19 01:41:16
16,4-(2-Aminoethyl,5X742twtV5sf8ZnSWSZ3WhxHgR9wmVeQmvzpnK7Gpump,15.91%,28.84%,199.6%,62,21K,2.9M,548.99,2268,1d,17.6%,0%,-,https://t.me/DOPAMINE_PORTAL,2024-11-19 01:41:16
17,LONG,2HUDMBsnctpkQo2fdf6Z4ECrXhAJbemJ4NJr4X9Spump,48.56%,59.58%,65.97%,39,44.3K,4.1M,522.48,1509,6d,16.1%,1.6% Buy More,-,https://t.me/thetickerislong,2024-11-19 01:41:16
18,Peanut Husbulla,2Q3mARhGZ9Phiai1txGTXXJbN2eSxtcNXnXbfoexpump,22.81%,8917.9%,8917.9%,246,46.5K,1.3M,273.01,2077,34min,5.99%,1%,-,https://t.me/PHUSBsol,2024-11-19 01:41:16
19,CUTTLEFISHY,JC3MaSFiZcdDecxFhZKtfULxnkUp9DPxdgwYHWHNpump,,,,,,3.9M,428.13,1776,26min,28.19%,3.13%,-,,2024-11-19 01:41:16
20,🔴🟣🔵🟢🟡🟠,GYMB2ZgEgTBjC2wQkzgFD5SgA4BG9WmiKx1j69K3pump,32.13%,8023.7%,8023.7%,526,193K,560.1K,195.87,1061,40min,18.78%,0.68% Buy More,-,https://t.me/epilepticcircle,2024-11-19 01:41:16
21,FRUG,GmTH6V13rHVXeNdmDfh7VQeS2Lj9YWRKT5XjDEA2pump,3.8%,22.62%,62.31%,26,2.8K,823.3K,294.54,3493,65d,21.11%,0%,-,https://t.me/frugsolana,2024-11-19 01:41:16
22,1+1=2,CsDZteCUToQqZgods4BJTgVzb7pqgp1LCmhQ4sChpump,,,,845,246.7K,748.8K,216.35,1743,17min,16.19%,0%,-,,2024-11-19 01:41:16
23,Trump Official Dance Move,QcNnhASrCxLpkqndMvLJmBu8HAkdViZzdipBAoypump,13.77%,27.23%,183.3%,49,28.2K,5.3M,668.54,1843,6d,19.06%,0%,-,https://t.me/SHIMMYCTO,2024-11-19 01:41:16
24,CRISPR,AaV3hry7G3kLTAmM1dKwxDiqfGuPCtuSvvQCcozRpump,,,,1304,449.5K,1.4M,287.22,1098,26min,17.01%,0%,-,,2024-11-19 01:41:16
25,W / I / B W \ O \ B,5qmL9rCSfZ7pBYAsaoeG8SP76ZELeRCK8XtMmYZvpump,7.87%,60.97%,96.9%,29,8.5K,2.9M,605.72,885,28d,26.5%,0%,-,https://t.me/wibwob_portal,2024-11-19 01:41:16
26,Roastmaster9000,G6haJithfeUgSghVpu1rDPCq2NFiYcJFHNpHEANbpump,0.32%,31.73%,492.2%,85,20.6K,2M,408.23,1385,22h,21.06%,1.63%,-,https://t.me/roastmaster9000,2024-11-19 01:41:16
27,ZOA AI,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,3.75%,31.61%,26.06%,60,52.2K,5.2M,858.31,2292,21d,18.56%,2.46%,-,http://t.me/ZOAAIBUNNYGIRL,2024-11-19 01:41:16
28,CIA'S AI MASCOT,9gzA3kSZvB25YwHj4JPfcx473KyZ6ZQZA59D9BiGpump,17.33%,78.01%,133.7%,31,17.7K,2M,413.37,1635,1d,23.9%,0%,-,,2024-11-19 01:41:16
29,GnosisGod,Be6mYmT59zuB98hY55aYecnBXRetZvQwe3KSypmbpump,26.56%,68%,729.6%,158,70.5K,2.2M,405.9,1633,1d,17.28%,0%,-,,2024-11-19 01:41:16
30,DEGEN8BALL,8iQCQd8TwARsBGyB7zUvEQqU3LCWXRFPmaKvyTPytPCP,102.8%,170%,142.5%,11,37.6K,2.2M,358.35,1684,7d,18.08%,1.01%,-,https://t.me/degen8ballai,2024-11-19 01:41:16
31,Bored Ape Yacht Club,6m7jFs2kaNrTWjFmdHCvvBeQoVxbhK76qBsvaYYCpump,,,,1895,501K,1.5M,270.41,1752,29min,10.15%,3.8%,-,https://t.me/bayc_legend,2024-11-19 01:41:16
32,Pengwin,ARXn3nwwPeGYD3dZWDbtDiDDRTYaW9PXtBKwGjLRpump,9.65%,22.44%,45.3%,6,8.1K,3.5M,503.64,3337,4d,21.89%,0%,-,https://t.me/pengwinportal,2024-11-19 01:41:16
33,KEK,2fZTwhbLg3xPquk8CqS3KKYbrNMbhKj7Q5zBKuT2pump,25.44%,73.56%,304.4%,81,23K,2.6M,457.27,1089,34d,18.72%,0%,-,https://t.me/kekcoinonsolana,2024-11-19 01:41:16
34,HYPERBOREAL INFINITY,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,30.48%,25.57%,195.8%,50,25K,2.8M,539.93,1153,17d,20.65%,0.62% Buy More,-,,2024-11-19 01:41:16
35,FIENDS,B4zJ6ETHFAu7JCr45gjMdkMY2yigHwxLUWs52iUqpump,99.93%,8202.8%,8202.8%,552,215.7K,580.4K,185.54,1438,35min,23%,3.46%,-,,2024-11-19 01:41:16
36,First ThreeBody Coin,CS3g3FvMFTJ1pXS52x6ACrUKJRNXzGjTmuHuhqDBpump,,,,911,444.2K,1.8M,343.63,2550,47min,18.63%,3.45%,-,,2024-11-19 01:41:16
37,xing xing,5JcdnWEwuHh1v3SAARq8zH9tEwDQGpaHzBrZ81m4pump,10.49%,59.96%,97.09%,10,8.1K,1.7M,394.36,1273,9d,16.91%,0%,-,,2024-11-19 01:41:16
38,MIKA (zerebro gf,7fgkPfcSrv3WHfWegTrT1UFT4XhkNFhYeypyEiqepump,92.08%,285.3%,743.5%,542,219.5K,2M,513.37,1706,1d,25.96%,0%,-,,2024-11-19 01:41:16
39,SAMOI,FfYhzJ7j3rrs4m4i1wKy5Bz5aYW8mKEGq2rxChU3pump,122.7%,621%,538.4%,758,609.3K,1.5M,280.69,2136,1d,15.52%,0.04%,-,,2024-11-19 01:41:16
40,Choose Rich AI,BZynczxXkKoYvy6UCApLMzkesH6DtNYWDPsCsSsVp4Pw,,,,421,218.4K,1.4M,294.59,1367,55min,17.44%,0%,-,,2024-11-19 01:41:16
41,PUNK2317,Gpr4NTJPjS1bYf6HPSEGF4NQ3hf1Weze6esHmkTapump,,,,,,1.9M,335.9,1827,22min,19.32%,0.71%,-,,2024-11-19 01:41:16
42,lil cenat the hamster,3biQ7ugc5ZhM9NMsqpc2yuxTDQ9QEo7gCAgVfANQpump,,,,341,172.4K,1.1M,288.13,1774,1h,19.52%,0%,-,https://t.me/allcrazyb,2024-11-19 01:41:16
43,BAYC1626,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,153.5%,9332.4%,9332.4%,617,209.9K,657.6K,163.21,1221,33min,18.33%,0%,-,,2024-11-19 01:41:16
44,First City on Mars,54Ah6XTV7n27SuFa2sqyz7DSoRmVmFTbB6wbuzqPpump,126.4%,449%,508.7%,705,377.7K,1.3M,323.46,826,95d,26.93%,0%,-,https://t.me/terminusctosol,2024-11-19 01:41:16
45,Satoshi's Willy,4zUmw6iTRhREKZLv1p7mLADrMHXG7XZ78h24fpsMmfQc,9.18%,31.02%,24.29%,11,6.1K,910.7K,246.73,783,5d,32.44%,2.44% Buy More,-,https://t.me/SatoshisWilly,2024-11-19 01:41:16
46,PUNK3493,EG1Y8goUGa7y4iRYRgLgwBmSHc4Lxc91qL35cdDNBiRc,,,,450,197.6K,1.2M,260.39,1287,32min,20.8%,3.94%,-,,2024-11-19 01:41:16
47,I AM ABOUT TO WALK INTO,2eZKhD3mewfLJ5hNFpmJRK49fsZit2FsfzQricd1pump,,,,858,470.2K,963.1K,242.57,1554,19min,16.45%,0%,-,,2024-11-19 01:41:16
48,BrahVerse,GgvFJw7eGMwVruF3kTYeuwiTGBx12buZxt6gG6FTpump,1202.4%,1290.3%,1123.7%,326,405K,2M,120.88,1629,15h,15.85%,0%,-,https://t.me/brahversesol,2024-11-19 01:41:16
49,Disinformation News Network,9YNseFjEBzNGYxnz8egwJShZmoDdPAxF6Kh8mtxpump,,,,1254,587.2K,1.1M,247.31,1150,37min,18.58%,0%,-,,2024-11-19 01:41:16
50,qnn,HznwD5v8TQ8wuhigVcjiSa8jH6TUrrKQ4d3yg5xxGYkR,,,,1569,861.3K,2.8M,393.19,2714,33min,12.13%,0%,-,https://t.me/qnnsolana,2024-11-19 01:41:16
51,Abduroziks Cat,39vSxii1Ef3a9sh2mQ5DHY9Cg5ht1BQpUswC9pBzpump,30.44%,291.9%,674.7%,286,121.6K,1.5M,350.76,1346,1d,20.81%,0%,-,https://t.me/murkactoo,2024-11-19 01:41:16
52,eef,9cS2vsANfgEp9urCeDbbmsT7Y9Ci4mMW6JQpnEe4VHGZ,,,,656,352.3K,3.4M,447.99,1449,36min,24%,4.73%,-,,2024-11-19 01:41:16
53,Cult Of Omega,8wF3WJt7FLrHvjRRpb9suPSsb27MQUNGYPwsCZLWpump,,,,1453,544.4K,2.5M,419.59,3072,34min,19.42%,0%,-,,2024-11-19 01:41:16
54,Slowpoke,4WaNgdg8hgvNLwUUCcBUcqdxXtED6kJ2QC76oa3Dpump,,,,348,82.8K,693K,227.24,1526,46min,19.16%,0%,-,,2024-11-19 01:41:16
55,AMC Mascot,DaK2dLpGWCEbRBEf3J1dqaHXLi8LMPnk7zovt8xpump,21.55%,1019.2%,682.9%,241,122.3K,2.4M,550.89,2745,17h,15.01%,0%,-,https://t.me/Clip_AMC,2024-11-19 01:41:16
56,DeSci,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,67.15%,250.1%,262%,1151,762.1K,7.9M,798.6,7102,1d,10.44%,0%,-,https://t.me/DeSci_Real_CTO,2024-11-19 01:41:16
57,Joe Rogan's Dog,F4Lyq5tJJGwEo1hhLweQPg6xG1aVKv4SZqAmDBQepump,36.55%,160.9%,2710.7%,263,122.3K,1.1M,265.65,1695,5h,23.16%,0%,-,https://t.me/JoeRoganDogSOL,2024-11-19 01:41:16
58,Just a chill guy,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,22.14%,64.88%,164.7%,77,56.6K,6.5M,719.7,2411,1d,17.76%,0%,-,,2024-11-19 01:41:16
59,Department of Artistic Freedom,7nR6FSJXWrgQLy4x1mFqK6EimRz2xfA989KFQ5Y4pump,,,,343,179.8K,870.9K,178.09,894,1h,22.68%,2.51% Buy More,-,,2024-11-19 01:41:16
60,Tamzen,AeBLk27VFF88WrH57C7WkQdGfaZfy74x8K2snoa6pump,,,,912,354K,1.2M,262.15,1955,48min,16.23%,0%,-,,2024-11-19 01:41:16
61,Fukupuku,2KchKijPuwnwC92LPWVjFjRwB3WxKtzx9bbXZ7kRpump,36.34%,97.2%,175%,51,36.3K,1.3M,297.75,779,4d,27.41%,0%,-,https://t.me/fukuonsol,2024-11-19 01:41:16
62,PNDA,96jjpsvUefDpFuT7kHBg8ZDtDr3D8tCULULnnSG2pump,15.3%,49.26%,42.31%,8,11.9K,4.1M,601.7,1155,17d,16.9%,1.3% Buy More,-,https://t.me/pndasolana,2024-11-19 01:41:16
63,Gemo,9UEN2kKhHxnaK14ZYFvog2hezajxAke9xCiS2hnppump,3.26%,7.1%,11.69%,8,3.3K,3.5M,561.21,1215,18d,24.49%,0.83%,-,https://t.me/Gemsdaoecosystem,2024-11-19 01:41:16
64,Bloomsperg Terminal,4vKEwZ2ZHmHFuQEE69emXV2Zq1EKeJYVCESsMqydpump,3.27%,27.88%,114.2%,25,4.2K,2M,560.53,1019,8d,25.91%,0%,-,https://t.me/spergai,2024-11-19 01:41:16
65,Ropirito,CtaVq7fp5xwYFenGQypqdK97LJhTD72GgRsY8e4Npump,5.77%,19.84%,21.86%,32,23.9K,7.1M,986.2,3732,5d,13%,0%,-,,2024-11-19 01:41:16
66,ISHOWSPEED DOG,HCSce4LQrYeVKLeKdp2KC5LeECQUT2L2tp8kYyHApump,,,,758,439K,795.1K,202.88,1483,29min,21.44%,0%,-,,2024-11-19 01:41:16
67,The Mascot of Wallstreet,22mLzMjy3wmM7RJEfUnKDSDzmRxjy2QrVWQ74cMipump,,,,119,26K,785.5K,247.54,1462,3h,27.68%,0%,-,https://t.me/bullmascotportal,2024-11-19 01:41:16
68,The Society Library,7wUwkXo8Qjt3cYM8BaHHHeyfDY7ZSn7qvod92pNupump,0.93%,21.78%,135.4%,72,15.4K,6.9M,917.64,1771,20d,22.37%,0%,-,https://t.me/sl_coin_portal,2024-11-19 01:41:16
69,🟥🟪🟦🟩🟨🟧,HwPtbFpd3VTe3tfyosoVtPf9WPuSk5gAKkN5xp6Npump,,,,749,323.1K,3M,493.06,4491,2h,19.62%,0%,-,,2024-11-19 01:41:16
70,autista cat,6QbkqyarW5ET7TvNsENGmV7e4fg7SpACdYb8ba5Ppump,59.6%,675.8%,9243.7%,366,162.1K,625K,174.64,1458,57min,16.05%,0%,-,,2024-11-19 01:41:16
71,MineTard AI,42yzLyxGDjD5RFFQFYNVy7Pzubz6QPCK7HFK52f1pump,49.72%,63.41%,276.8%,113,104.2K,6.3M,650.98,2230,4d,18.13%,1.76%,-,,2024-11-19 01:41:16
72,fur-nancial advisor,DQc6FTgu2HiB1PMUkHj8SATCtxsCeeMz5hiaqwk1pump,,,,,,5.5M,576.97,4185,32min,16.48%,0%,-,,2024-11-19 01:41:16
73,telos,7uPaoEq4TsLoszJrksWcqBetZsP6PnNzHmStRZnnpump,,,,1352,934K,3.9M,572.67,4353,47min,13.17%,0%,-,,2024-11-19 01:41:16
74,AnalogAI,J6yQ25J8gqDYBPY4snd47PvGAnUxmuw1my5jFzDapump,,,,516,202.1K,806.1K,152.44,1141,34min,15.81%,3.13%,-,,2024-11-19 01:41:16
75,Mrs. Hazel Nut,6ACVBVRd53rbwmuqyf4KRfaByiHQ9xxFsQTS6xuHpump,,,,1202,740.1K,4.9M,612.42,4454,53min,17.76%,0%,-,https://t.me/MrsHazelNuts,2024-11-19 01:41:16
76,spencience,7hfP5T1rirsb1EhhLrRnsM8EN3FCaio7cmAwMdcypump,21.74%,26.38%,38.91%,35,53.2K,4.1M,644.7,2005,3d,15.79%,2.01% Buy More,-,,2024-11-19 01:41:16
77,HILDA,GaSL7BEYwRQQwdRmbn7LrUMJh8wLU3BjMKWxLNgbpump,14.36%,53.78%,382.8%,44,5.9K,773.5K,254.8,1352,13h,20.69%,0%,-,https://t.me/HildaCto,2024-11-19 01:41:16
78,goob,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,65.28%,77.87%,27.78%,102,54.5K,4.9M,686.77,1768,2d,22.26%,0%,-,https://t.me/goobctoportal,2024-11-19 01:41:16
79,loaf,CqQWGaNTWTvyjoiaVrHxvXsFfZmGsgYCLbU2XwQYARBB,,,,1124,423.1K,986.5K,233.21,2097,34min,13.88%,0%,-,https://t.me/loafsolanas,2024-11-19 01:41:16
80,Copepoda,CShCtn3nXcog5fHk8ABmLnc55TaP4h6x4ANNFxn5pump,,,,1115,343.8K,1.9M,321.58,2632,27min,12.21%,0%,-,,2024-11-19 01:41:16
81,Xavier: Renegade Angel,69G8CpUVZAxbPMiEBrfCCCH445NwFxH6PzVL693Xpump,3.71%,7.54%,36.62%,6,1.1K,864.4K,294.69,813,20d,22.89%,0%,-,https://t.me/witnessxavier,2024-11-19 01:41:16
82,ZOA AI,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,1.66%,-2.67%,26.84%,16,115.4K,4.5M,820.86,2229,20d,18.46%,2.46%,-,http://t.me/ZOAAIBUNNYGIRL,2024-11-19 01:41:16
83,PELETRA,GGaDFp1D3p4iAyiNUxDPTDTNGymW9ERT7GmD3hvwpump,,,,781,406.5K,2.2M,349.74,1236,21min,30.55%,0.36%,-,,2024-11-19 01:41:16
84,wabbit,FeiEDFwX4p2uLBwGLWv8pfgNz97nPtPX5xM3unrLpump,,,,560,299K,1.8M,338.91,1520,31min,25.7%,3.29%,-,,2024-11-19 01:41:16
85,Solana Mascot,9vHizhLqqpTEhVduy12qL6goNMa4GDguLhhiiDKRpump,4.64%,50.77%,68.75%,55,9.1K,3.5M,507.54,1327,1d,6.21%,0.26% Sell Part,-,https://t.me/LumioSolana,2024-11-19 01:41:16
86,pnut's nickname,Dp22TW5UdN6KgnXS5kNidJyPduG9zk8f8bXX3Qvkpump,26.01%,104.9%,199.2%,59,22.7K,1.2M,343.82,1159,13d,24.08%,0%,-,https://t.me/MOUSEYTGCTO,2024-11-19 01:41:16
87,BOSSU,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,94.85%,63.23%,244.2%,209,102.3K,5M,855.78,3222,4d,15.07%,1.18% Buy More,-,https://t.me/bossuportal,2024-11-19 01:41:16
88,GME MASCOT,FLqmVrv6cp7icjobpRMQJMEyjF3kF84QmC4HXpySpump,46.65%,2107.8%,2056.3%,493,150.8K,590.2K,217.27,1006,1d,26.51%,0%,-,https://t.me/buckgme,2024-11-19 01:41:16
89,Pseudo Reality,uPm9ebhrGDnNXiyneeP9WG57wNbQ8bd26DRiWSNpump,25.06%,30.66%,65.67%,16,14.1K,2.1M,400.18,1333,1d,20.81%,0.04% Buy More,-,https://t.me/PseudoSolana,2024-11-19 01:41:16
90,SIRI,EQArjZNffRWoUCWiodD5jJNxnVASfhztFjdDZL11pump,123.6%,148.3%,200.2%,167,75.1K,777.9K,238.37,1353,2d,22.9%,0%,-,https://t.me/SIRICTOO,2024-11-19 01:41:16
91,Cheshire Grin,7JofsgKgD3MerQDa7hEe4dfkY3c3nMnsThZzUuYyTFpE,6.03%,31.49%,46.58%,28,5.1K,2.7M,534.31,1246,3d,22.57%,0%,-,https://t.me/CheshireGrin_SOL,2024-11-19 01:41:16
92,choccy milk cat,DFy12AkbxKnR2s2gaYz1AvxgxqGDrMEjjzK1GG3Ypump,26.8%,50.12%,53.77%,56,42K,5.6M,845.03,2044,23d,23.32%,4%,-,,2024-11-19 01:41:16
93,KEK,2fZTwhbLg3xPquk8CqS3KKYbrNMbhKj7Q5zBKuT2pump,46.69%,329.7%,316.8%,109,52.2K,1.8M,361.25,862,33d,19.55%,0%,-,https://t.me/kekcoinonsolana,2024-11-19 01:41:16
94,buni,GEpyBPM7NfPcwmjmbitVRyr1hPWxegRLL5ac2nbNEVN9,11.99%,53.31%,47.25%,23,20.7K,4.2M,615.27,1798,3d,17.44%,0%,-,https://t.me/itsabuni,2024-11-19 01:41:16
95,LONG,2HUDMBsnctpkQo2fdf6Z4ECrXhAJbemJ4NJr4X9Spump,57.88%,83.38%,72.02%,36,18.7K,1.3M,285.35,1068,4d,17.76%,1.63% Buy More,-,https://t.me/thetickerislong,2024-11-19 01:41:16
96,ZIMOMO,BWzZQswJRUh5aHQ5P6txtgC2GwYdmJ58ukwriUFFpump,30.23%,93.02%,502.9%,22,11.9K,918.4K,336.64,769,44d,19.97%,0%,-,https://t.me/ZimomoCommunity,2024-11-19 01:41:16
97,BITCORN,F76Go1TqbZwnG17BhbQMovEJQHnmXuBBHAjGd3v1pump,10.1%,21.98%,114.8%,40,7.7K,760.3K,252.66,976,1d,24.21%,0%,-,https://t.me/BitcornCTO,2024-11-19 01:41:16
98,eliza ai16z mascot,4qe5LzsmEJwr2rusq2Q4tvtEB1wdtpH6CokuCmAKpump,59.92%,166.7%,144.2%,113,86.6K,1.5M,485.59,1510,20d,15.24%,0%,-,https://t.me/elizaai16z,2024-11-19 01:41:16
99,PAWWOT,HUhKCbvKe4D6x34PypW9AtE7z6S44WApeCFZ1JqWpump,14.1%,44.92%,50.81%,50,21.1K,936.9K,262.75,2969,1d,26.02%,0.88% Buy More,-,https://t.me/pwotsol,2024-11-19 01:41:16
100,Hasbulla's Monkey,5FLziC58d8fLFnPqitjbQLjsdf3hzkvugtkw7BPZpump,42.54%,3622.1%,7823.5%,301,55.7K,542.3K,191.7,1494,52min,22.26%,0%,-,,2024-11-19 01:41:16
101,TOP HAT,AxGAbdFtdbj2oNXa4dKqFvwHzgFtW9mFHWmd7vQfpump,32.6%,56.84%,6.72%,37,42.5K,10.7M,984.53,1176,16d,20.38%,0%,-,https://t.me/tophatwizards,2024-11-19 01:41:16
102,John McAIfee,86QASyebqezuPdbbkWyYMK5jmTAL1td1SuqobeKEpump,37.18%,86.16%,136%,140,116.2K,8.4M,763.36,3259,2d,14.92%,1.58%,-,https://t.me/JohnMcAifee,2024-11-19 01:41:16
103,Snake wif Hat,5EdKas4QsHaa71QS1X98wiCTgJCCVMjw5GhY5QMKpump,22.94%,24.3%,29.12%,21,7.7K,863.8K,245.92,1009,2d,24.17%,2.27% Sell Part,-,https://t.me/snake_wif_hat,2024-11-19 01:41:16
104,spinning cat,VaxZxmFXV8tmsd72hUn22ex6GFzZ5uq9DVJ5wA5pump,11.21%,11.42%,26.42%,13,4.4K,1.7M,507.02,1254,46d,20.29%,0%,-,https://t.me/OIIAOIIACTO,2024-11-19 01:41:16
105,blob,92kxUXDsBQLy5ptGxtmH9CDYd5E6ZQynzf2eFPiUpump,17.89%,48.8%,14.08%,78,39.2K,4.3M,732.07,1804,11d,16.35%,0%,-,https://t.me/justablob,2024-11-19 01:41:16
106,TRUMP PNUT,3WPoxse2SE9vkLjnPyvE6idC9qi9991ZX2FCX6oCpump,21.37%,7950.7%,7950.7%,618,146.1K,1.1M,252.11,2394,29min,9.61%,1%,-,https://t.me/tpnutsol,2024-11-19 01:41:16
107,Polygon Mascot,BiVYnDXP853rVC38r17jGH6WtcsC5znyyivB6mrKpump,49.47%,38.85%,92.38%,38,31K,1.8M,432.85,2213,1d,15.75%,0%,-,,2024-11-19 01:41:16
108,RUBY,mDshrPRV32j79trDVEQjdRsfZ1zdzjwh6eQK9e9pump,13.93%,42.06%,618.9%,285,129.9K,7.6M,889.27,4687,1d,17.56%,0%,-,https://t.me/RubyPortalOfficial,2024-11-19 01:41:16
109,Zerebro Token Of Transformation,AnGzGiQ6ddzdqWDuWy6vmibqDv8rsT2QKhcgDrwTpump,24.61%,58.22%,25.09%,51,38.4K,6M,939.95,3074,6d,19.13%,0%,-,,2024-11-19 01:41:16
110,Just a chill guy,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,85.89%,104.1%,847%,131,100.7K,3.5M,493.9,1589,20h,18.78%,0%,-,,2024-11-19 01:41:16
111,Alpaca,FfgtU4bMte3JRZGX7kcNVywxiGoSqUTga8eZxTSFpump,39.86%,62.6%,196.6%,176,95.5K,3.9M,612,2316,18d,19.61%,0%,-,https://t.me/alpacabtconsol,2024-11-19 01:41:16
112,Cthulhu AiGod,6AxxDpe2SdmusWymqcsfSUeTsBEitFwXGUvzw7Rbpump,,,,750,309.9K,1.7M,363.7,2242,1h,14.68%,1.76%,-,https://t.me/CthulhuToken,2024-11-19 01:41:16
113,Mooooooooooooo coin,EpFAoy7DCeCQ2iboysKk5tFMb3t8NSHGtQnibwpFpump,,,,742,136.5K,1.4M,321.04,2478,30min,5.09%,0.31%,-,https://t.me/moooooocoin,2024-11-19 01:41:16
114,HAMMER OF JUSTICE,93CycGK5HPiFFSiQQLWAiSyKMhYh2aFwkgT2UqnTpump,380.3%,1135.1%,1233.9%,1058,384K,1.4M,403.41,2424,2d,23.34%,0%,-,,2024-11-19 01:41:16
115,muu (むーくん,13DB6vz6AVBnPkQdA4GbRTTGtpiZutbM47N1arKhpump,39.41%,41.15%,80.4%,36,24.7K,994.3K,349.66,1249,30d,23.76%,0%,-,https://t.me/muucto0,2024-11-19 01:41:16
116,litecoin mascot,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,156.8%,146.5%,105.1%,51,67K,1.7M,266.11,1235,1d,25.51%,0%,-,https://t.me/chikuncto,2024-11-19 01:41:16
117,Ozzy The Otter [R.I.P],DZqUytg6SUE7KSmSqmHJaJziZRBvmZPwinWsE1PHpump,6.78%,16.64%,74.89%,14,4.2K,922.3K,325.81,1572,2d,26.16%,0%,-,https://t.me/ozzytheotteronsol,2024-11-19 01:41:16
