row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
10,SHITLIST,ET1Lu5FJwZsfoywP3SVBwNSwoMmqrC52m3WjNqNhpump,38.77%,108.3%,186%,42,2.1K,20.1K,24.25,102,2h,24.92%,4.73% Sell Part,-,https://t.me/+0Bj4ATO50fljNmU8,2024-11-16 05:45:15
11,League of Extraordinary Memecoin,G5wmRWAMQuEwxKhm8nrUWezczhZYBGUvmoajehGnpump,29.36%,139.7%,204%,27,1.9K,20K,23.15,103,2h,25.62%,0%,-,,2024-11-16 05:45:15
12,UNITED STATES OF X,9gVVcP31u2wZvg1E4EhoGNTEwZTii55FBa8eFvYmpump,33.22%,719.7%,719.7%,28,7K,55.7K,56.62,95,38min,28.47%,0%,-,,2024-11-16 05:45:15
13,Franklin The Turtle Puppet,2o3W7YodiphwJeLjrCzTgaJqjRXbLDWHCM8Pyj2Xpump,72.33%,198.9%,235.9%,39,4.8K,20.8K,25.19,48,2h,27.63%,0%,-,,2024-11-16 05:45:15
14,🍊,FV4EMZ8r9FKG45szx8aHZdqGVDyuGJfEMUSdAAE6pump,10.54%,10.32%,14.3%,15,1.3K,26.4K,32.17,163,29d,26.7%,0.71%,-,https://t.me/orangeemoji,2024-11-16 05:45:15
15,meowcoins,AcAC98WwUb43ydXA6JxdXmi3rfoHcA1KXxwBny2Zpump,241.4%,376.4%,2872.5%,191,102.4K,399.3K,145.98,483,6d,27.81%,0%,-,,2024-11-16 05:45:15
16,Chief Troll Officer,GKc9t2gN71p9FY5J6XSKqBMHZXZKJG35QbCJzZQzpump,91.98%,542.4%,542.4%,63,13K,40.6K,44.71,80,39min,25.84%,0%,-,https://t.me/trollofficersol,2024-11-16 05:45:15
17,kzl,HjdE4j3rHC7YMxFMHXSgEzXoNcVU6YBCfg9Q1gTJpump,545.4%,676.1%,924.7%,133,30.1K,63.2K,51.34,67,2h,36.87%,6.02% Buy More,-,,2024-11-16 05:45:15
18,Pig Hunter Zerdava Dogs,B1aewTHFEbQTh2WKDSYUL7NejVNoooGWkMauVa16pump,10.01%,10.01%,5.69%,5,710.5,21.6K,23.33,51,9h,23.73%,4.66%,-,,2024-11-16 05:45:15
19,cryptosage26,91Wbp3iTkcVv2h2JRFmKkdZ8dnCZE8A5e1iSKpQupump,42.64%,71.52%,71.52%,2,4.7K,62.1K,80.1,183,134d,23.27%,0%,-,,2024-11-16 05:45:15
20,Trump.Fun,CQw6khsfys9zBRcgJ8WQrDYjY4TrZJqU2HbeRR6xpump,258.5%,258.5%,258.5%,67,7.7K,22.7K,27.67,51,43d,33.68%,0%,-,,2024-11-16 05:45:15
21,NETFLIX MASCOT,5tNyNAwsPAYXz7GNU6NxSHRDuDBQruN1JrXEQ4ARpump,14.97%,3146.4%,3146.4%,104,36.5K,198K,126.3,961,41min,16.99%,0%,-,https://t.me/NETFLIXMASCOT,2024-11-16 05:45:15
22,SENIOR CITIZEN,7WRQMaqvhKCkuDi37DRZfW9N5ya8HaCdRZfKqQWWQ2Vq,39.24%,62.98%,198.2%,9,2.7K,24.5K,24.21,52,,28.82%,6.62%,-,,2024-11-16 05:45:15
23,AMERICA MASCOT,4NktoTXys5jvpj4FJpWrhTmx2uaHx1k7tDG5X6Bipump,34.67%,4628.5%,4628.5%,268,98.9K,300.4K,144.62,389,35min,27.14%,0%,-,https://t.me/AMEMECASOL,2024-11-16 05:45:15
24,loomlove,2PqpUYeshMEL8GdzaXAMudbqUWUVWdFbTVPknB7Npump,122.2%,205.9%,209.1%,35,4.4K,20K,23.95,34,8h,34.71%,10.9% Buy More,-,,2024-11-16 05:45:15
25,USA Mascot,GWP1y941kgoSpCuYNFH17RrBtbDVDuzsYK8vgedipump,22.21%,273.7%,273.7%,185,6K,24.3K,28.21,95,35min,29.08%,0%,-,,2024-11-16 05:45:15
26,dog flight,55m1dmFFo6KCBjsHsM4FdPS2R2PLrsVyx3S1uvD5pump,35.83%,201.1%,201.1%,268,5.3K,19.7K,23.6,58,30min,25.23%,0%,-,,2024-11-16 05:45:15
27,KAZEN,BAo7sezLF4b32vr4KAfDXtKWgrD5q3H7HQk39AHYpump,16.82%,489.1%,489.1%,157,13K,72.4K,70.65,218,30min,14.47%,4.18% Sell Part,-,,2024-11-16 05:45:15
28,Tpvfmr,5hRpZNEDWqPV2B8FQ3GQspsPyYuSt2GRcbRXcfQapump,79.06%,290.3%,290.3%,93,12.1K,24.1K,30.39,84,30min,25.11%,0%,-,,2024-11-16 05:45:15
29,Jake Paul's Tummy,CU4SqyJix11Mi97tFK9EWREs2diBdnL4PRWGqJ1Fpump,14.86%,79.21%,222.1%,6,896.2,20.9K,25.65,30,1h,33.86%,0%,-,,2024-11-16 05:45:15
30,doge 100x on leverage,8dXGUTGoLBmD6a8FfP7LUy9T6kZCmTMGTYZK6RGTpump,92.24%,243.6%,245.5%,317,11.3K,21.5K,20.88,48,2h,28.56%,0.71%,-,,2024-11-16 05:45:15
31,Howard Lutnick,8kJ6LnqWZEbXjUMWvdk8nuJW6mywA1se1tJJSYU9pump,9.44%,9.44%,16%,5,658.3,22.3K,26.75,28,10d,42.67%,6.71%,-,,2024-11-16 05:45:15
32,Bitcoin Mascot,DHbiNpRrPp6r1BEBSXStsrMw6pFJ1xVTPvTE66DKpump,26.14%,196.9%,196.9%,33,2.2K,19.6K,23.79,89,30min,25.84%,0%,-,,2024-11-16 05:45:15
33,Quick Smoke,6SNrpb2rrKn45CX5bmrDDsZvKC5QAuGZniMPHHmCpump,35.82%,195.9%,195.9%,272,4.7K,19.1K,22.9,69,51min,26.89%,0%,-,,2024-11-16 05:45:15
34,DOMO,8F5mYqeeadXMDqupxukvTK3vp8aeuJALZ13h9FESpump,28.64%,215.9%,215.9%,73,8.4K,38.8K,44.9,111,30min,27.29%,18.14% Sell Part,-,,2024-11-16 05:45:15
35,Bio Acceleration,7dxQE4YXrWqtwUVb8W8HjfPT3t4H4dWZfsDWRWKupump,70.94%,349.6%,382.5%,71,24.9K,1M,246.88,710,6d,22.61%,0%,-,,2024-11-16 05:45:15
36,yipee O_o,HRhuXhKjzAsqhjY1gC52p3fr4Hs5W3mrwYfQDN8qpump,13.2%,469.9%,469.9%,77,11.2K,67.7K,68.18,165,30min,17.62%,8.06% Sell Part,-,,2024-11-16 05:45:15
37,Zerebro's Jam,6ZN9LtAxBttkMNs2eai8aMfc9KCp3x4Gufccn1yGpump,263.2%,294%,294%,108,9.7K,23.2K,29.04,18,18h,31.43%,0%,-,,2024-11-16 05:45:15
38,Realisation,8TBYkVWEE4fW5qQoV9xAPowM35qxBLsfuuo4YMVipump,14.73%,97.78%,216.9%,150,1.5K,20.2K,24.38,121,4h,26.98%,2.2% Sell Part,-,https://t.me/+DuC7LCq22fI4M2Zi,2024-11-16 05:45:15
39,We The Degen,36ziK7MLwouEErwQpMngSiLksiGbJaZuD7V3k1nipump,35.25%,114.3%,457.3%,599,5.9K,34.6K,39.22,186,1h,26.55%,0.86% Buy More,-,,2024-11-16 05:45:15
40,test,CKUcdVaF3YjFRforZA4Y4jLUNxEoQ3qhxuuvJE11NGCM,121.7%,413.9%,448%,33,9.2K,33.6K,36.72,38,1d,43.27%,0%,-,,2024-11-16 05:45:15
41,Butterfly Effect,D2rtDh1qY1yyqJy8uJbKBLgxQD4kZjsEEuzrya2Rpump,4.13%,1049.7%,1049.7%,192,65.2K,74.8K,74.04,363,30min,21.39%,0%,-,,2024-11-16 05:45:15
42,coco coin,5146zXQWqRvGPytJtRFXYjcbYBwg6XfkWQUobZcxJZHX,23.4%,26.04%,28.42%,7,1.3K,20.2K,24.62,64,3d,24.45%,1.12% Buy More,-,,2024-11-16 05:45:15
43,STAND FOR TRUTH,AxWpjQpJvNKdptxaYLPceUzGMp3qjAEmnaErXvfXpump,82.83%,5425.9%,5425.9%,349,83.1K,346.8K,129.54,810,17min,19.55%,0%,-,,2024-11-16 05:45:15
44,Pnut Butter,FuVpVwWWf2nGjvMxsS7nRk9o2AYPJArFvctjRFDrpump,71.43%,274.5%,274.5%,324,8.3K,23.9K,28.46,139,30min,23.8%,2.97% Buy More,-,,2024-11-16 05:45:15
45,DONT BE A BITCH,7BGJg2pHxKatgtwkBsZGAup6iuZ5eWSJzANfN4QRpump,35.44%,73.07%,60.45%,55,13.7K,295.3K,141.69,375,3d,25.52%,3.54% Buy More,-,https://t.me/dontbeabitch,2024-11-16 05:45:15
46,Sorae_OS,8Ne43wUYUqAUCCgFPcsDzUUyhHmGFKEtvbw4ZzvApump,97.69%,228.8%,327.9%,179,5.5K,26.3K,27.8,64,1h,27.18%,0%,-,,2024-11-16 05:45:15
47,Iron Hands,BtpKQH7t6zYEXwf7CfcSNQgWjm4r8m865SHhN15Npump,44.29%,465.3%,465.3%,543,40.1K,78.4K,69.25,293,50min,20.29%,0%,-,,2024-11-16 05:45:15
48,The Chipmunk Cat,QHt1D414zibLavvEqkB2FK86EbyeKdNobYo3BUrpump,105.9%,105.9%,102.2%,2,7.7K,104.4K,81.73,112,136d,18.53%,0%,-,https://t.me/munkcat,2024-11-16 05:45:15
49,꧁༑꧂,DU8muHmxqv3JxpVSLEzPRG5uqeDz5Qv8LvLDcrnPpump,436.4%,427.9%,427.9%,83,15.1K,42.7K,28.69,78,28d,34.23%,0%,-,,2024-11-16 05:45:15
50,take action,FW2JDdGu9bMxms2ny68Pbg7LX73EJMPSzq7uzdkPpump,13.02%,74.21%,17.88%,18,1.8K,78.3K,77.21,213,40d,25.84%,0%,-,,2024-11-16 05:45:15
51,teefs,jeDnKEkqdrZDzmsk2r5UZgJpaYTYC2QALjVtf4hpump,24.95%,231.3%,231.3%,182,6.3K,21.1K,25.23,84,32min,26.43%,0%,-,,2024-11-16 05:45:15
52,BANANA APE,7xZvLDVhoaYvm98VD9SKQCNmvTNRw2Zsg4weWrLjpump,16.59%,204%,204%,9,1.6K,19.6K,23.57,43,55min,22.1%,0%,-,https://t.me/Banana_ape,2024-11-16 05:45:15
53,Anime Girl Intelligence,8TLuByeGP27xK361dX62DX9HcfbkWJ6Yjc2nPEUqpump,38.57%,1958.6%,1958.6%,329,89K,231.7K,136.36,503,55min,28.08%,0%,-,,2024-11-16 05:45:15
54,Life Acceleration,7Dvn4xkrJnLd8Grz2wmGGm72JxAnyyywWWBq6qC4XYtj,141.3%,372.6%,372.6%,102,8.1K,29.7K,31.82,86,6d,25.04%,1.06%,-,,2024-11-16 05:45:15
55,Huobi Mascot,CXDyuMsSHfM3K9h2sMXNT2HxcRWV3im8D4Bumaw2pump,96.26%,324.2%,278.3%,118,19K,35.3K,38.74,140,30d,22.73%,0%,-,,2024-11-16 05:45:15
56,Water,Gb1TptEgwDfQSyoLnV9v6zxvxHG44VyCV7fopzuQpump,53.93%,1074.8%,1074.8%,118,19K,74.4K,65.03,225,33min,26.96%,0%,-,,2024-11-16 05:45:15
57,SAMOI,FfYhzJ7j3rrs4m4i1wKy5Bz5aYW8mKEGq2rxChU3pump,393.5%,608.6%,580.1%,81,32K,56.6K,59.96,24,42d,48.67%,0.04%,-,,2024-11-16 05:45:15
58,spencience,7hfP5T1rirsb1EhhLrRnsM8EN3FCaio7cmAwMdcypump,42.81%,90.98%,73.17%,34,36K,3.1M,523.8,1678,2d,16.49%,2.01% Buy More,-,,2024-11-16 05:45:15
59,WALL OF SHAME,vC8ft3FRQgpqnzfA3Ng8UPz7cKeXQQDgP8HqZYopump,83.75%,643.2%,643.2%,163,23.6K,47.1K,48.45,148,33min,22.91%,0%,-,,2024-11-16 05:45:15
60,transkatgirl,Bgfq8A5FE9pqBxqLo9uE5cp2e3qWdswegHPWzb3ypump,71.08%,574.6%,538.5%,38,7.7K,108.2K,84.49,156,27d,32.87%,0%,-,,2024-11-16 05:45:15
61,Phobos,CE9aiRJqzAJy77VY6qZmjr8QZmymkog9YZYwCmJ2pump,35.69%,117.8%,3400.6%,232,74.3K,229.4K,102.9,833,1h,21.62%,1.71%,-,,2024-11-16 05:45:15
62,NAD+ Vital,8fBksAYFL5uh1LVRhCyafD5PWhYykPPPhnuAuPrapump,114.8%,156.8%,156.8%,77,6.6K,23.2K,26.39,30,1d,30.15%,10% Sell Part,-,,2024-11-16 05:45:15
63,The Bruzz,GEUBMBTWuJsoudgJhEKr4ZQvT5awEdR7ZQELP2LJpump,100.9%,102.9%,141.6%,50,7.1K,98.5K,63.78,219,2d,23.95%,0%,-,,2024-11-16 05:45:15
64,KIZUNA,8q7UWNk7Exf96kUcQW34RKxJrhdtAzooKeKY64npump,21.9%,43.49%,252.8%,11,1.3K,23.4K,29.28,85,156d,30.16%,0%,-,,2024-11-16 05:45:15
65,Nothing Is Under Control,7odKY5nADq4RHwxWTVkWXHHzEDUTSuxohxeAUW2vpump,19.78%,238.2%,238.2%,112,3.7K,20.7K,24.87,82,33min,21.96%,0.29% Buy More,-,,2024-11-16 05:45:15
66,Kzl2,4BkPuirgWo8z1M4t4rzVWpxJ4nHeKm4jArAvuHkDpump,125.4%,140.5%,287%,131,7.2K,26.9K,32.23,69,1h,36.65%,0%,-,,2024-11-16 05:45:15
67,A Cat Named Five,3cBP9tmmH686cK9PvFPnucdKpume3YGUoExQhXbipump,218.1%,367.3%,367.3%,51,11.1K,30.1K,30.09,20,49min,41.97%,0%,-,,2024-11-16 05:45:15
68,PawPaw,3uzzUXY1tq95x19cEQ4wkptLipKB8jF4tvzdxceXpump,41.88%,113.6%,113.6%,42,6K,26.1K,29.59,66,31min,17.97%,0%,-,,2024-11-16 05:45:15
69,NAD+,HxBEN1LQJrpUHwNQScLwFvViXp6srXPHQgUP3dabpump,137.6%,339%,339%,111,5.5K,27K,32.98,67,30min,26.48%,0.71%,-,,2024-11-16 05:45:15
70,CZ DNA,CR5eZbeAQoMyyEAdnATeEbS8egUHg7fh8hQvGsvRpump,32.03%,1444.6%,1444.6%,485,53.4K,97.7K,63.89,495,6min,15.3%,0%,-,,2024-11-16 05:45:15
71,The Imperial Government,8jLG9C3NwXTi3wD95XZhih12AXGLmBfXq1oTnYFrpump,308.8%,694.9%,694.9%,122,38.4K,50.8K,44.38,45,39min,37.17%,2.23%,-,,2024-11-16 05:45:15
72,Oficial SpaceX mascot,Bw2s7r38HMEuLUCZ8Mg7LiAhSADTieShs3tdTnGjpump,45.59%,227.8%,227.8%,141,3.8K,20.7K,24.85,48,31min,29.07%,0%,-,,2024-11-16 05:45:15
73,LUNA CAT,GGPbHcUPnKMjdZVSxKG3fn33Zp6LBcfWPFzEWu1bpump,9.91%,200.5%,200.5%,219,4.2K,19.7K,23.47,77,55min,27.12%,0%,-,,2024-11-16 05:45:15
74,i made a drawing,CKwD6QSDBvxJWPhLtx5xwD7mZsPe1YUbzgZytT4tpump,24.82%,216.7%,216.7%,101,4.4K,19.9K,22.97,71,39min,23.55%,1.36% Buy More,-,,2024-11-16 05:45:15
75,auTisTIc girl invesTor,GWW9By8Waz1WioNnjaonoFRSjyHwBxXpepcYSVXypump,95.96%,257.1%,313.8%,229,5.3K,26.2K,31.26,102,1h,26.91%,0%,-,,2024-11-16 05:45:15
76,FINAL FORM,23RYTbET1CqAjr9DSZr4MH8weC7tp914TU3Hgvqhpump,26%,1149%,1149%,219,17.6K,77.4K,73.39,373,30min,20.67%,1.41%,-,,2024-11-16 05:45:15
77,DeSci,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,100.6%,272.5%,470.6%,39,6.5K,40.2K,37.11,92,2d,25.26%,0%,-,,2024-11-16 05:45:15
78,Rifampicin,8dKcvQHCXUNk2J1VAx8hpdsrEEzySsQuqUf8xf1ppump,51.9%,227.8%,227.8%,36,4.6K,20.8K,25.37,56,55d,29.37%,0%,-,,2024-11-16 05:45:15
79,PUMPSCIENCE,5S86kfcChDU8mmins9jUCqjY41gBbjhN8HFcgCuzpump,140.6%,268.1%,268.1%,126,10.9K,23.3K,28.19,95,4d,29.97%,0%,-,https://t.me/pump_science,2024-11-16 05:45:15
80,ozempic,BEx89pDuGwi9jssX6Nqdh6RLNQQB7mrux4tkcWeCpump,7.78%,7.78%,7.78%,1,659.1,17K,39.63,141,165d,33.92%,0%,-,https://t.me/+XMc_UL4LmEBhODAx,2024-11-16 05:45:15
81,Upgrates,Dd917ev4Zzde2BkPm31FTLseHNHamJPPUwQgGAybpump,14.45%,26.62%,52.36%,48,34.8K,5.2M,713.14,2321,2d,16.42%,0%,-,https://t.me/upgratesai,2024-11-16 05:45:15
82,🎶@DOGE,EBp567V5ch6bxMkVhkiEdPAx6Qz9dBmSpkDK7Ykrpump,35.14%,259.5%,259.5%,42,2K,23.4K,26.76,97,36min,23.11%,0%,-,,2024-11-16 05:45:15
83,Don Juan,KNLXYqQJVh74LmYiqSXg1o5YrxCHbVDNYpjx6Xhpump,6.81%,1118.6%,1118.6%,221,2.4K,74.4K,72.53,85,31min,32.32%,0%,-,https://t.me/DonJuanSolana,2024-11-16 05:45:15
84,Ribonucleic Acid,mki3LW4SUPxjpsmsMn3Nuv9bQdfGiuuuYm5oisdpump,476.8%,476.8%,476.8%,160,19.2K,37.8K,28.17,111,6d,26.86%,0%,-,,2024-11-16 05:45:15
85,RUFF,7TyicJbpEbmtNsHepTno4CGAaswBnP9iNSsMYUwEpump,15.38%,584%,584%,143,9.5K,83.8K,80.18,243,30min,9.6%,0%,-,,2024-11-16 05:45:15
86,DeSci,DVAeivG4CPfKpKErLudeT8zKCvsQmzSG5aGqpvv1pump,126.7%,342.6%,342.6%,84,6.9K,28.1K,26.86,114,7d,23.11%,0%,-,,2024-11-16 05:45:15
87,yua_mikami,AX4WqXbNvj8Um8SU1yGiVLFW1P3fwxEQR5gz2uv9pump,5.19%,80.37%,156.1%,23,606.5,20.9K,24.54,162,2h,21.23%,0%,-,,2024-11-16 05:45:15
88,C.elegans,Gq9zgnft9w4HzPBXujEKUv6NLDksZWScQTrcEk6Mpump,272.7%,272.7%,272.7%,53,8.4K,23.6K,23.63,36,39d,33.04%,0%,-,,2024-11-16 05:45:15
89,pump.science mascot,HWnTV2PMEgaW8CBmW8mRyVsPCWQs954amFt1Qq7ipump,122.1%,274.8%,274.8%,67,7.5K,23.2K,26.34,104,38min,25.05%,0%,-,,2024-11-16 05:45:15
90,SILLY,9AdArtEvyHS9Z6PFqgBZRoHTuSw66s6uXkbQr5D4pump,175.6%,186.7%,186.7%,143,2.6K,10.7K,27.93,120,116d,11.88%,0%,-,,2024-11-16 05:45:15
91,ORIGIN OF BINANCE LOGO,8wE9UpY4EDSWz7fc39qA5iteDaqgou5ExnFPsuS3pump,159.1%,218.7%,251.2%,92,8K,21.9K,25.48,15,58d,34.84%,0%,-,,2024-11-16 05:45:15
92,Giggle Academy,isinUVLtktB1TgG3MD7KH5qCKspgANW9gsLZGNipump,230.1%,395.4%,371.9%,150,10.5K,30.6K,33.35,40,6h,24.63%,0%,-,,2024-11-16 05:45:15
93,Apple Mascot,Gkg6YWvQGdZfAn9axVzao6KqEXrYoH7bTdDDZgNCpump,134.2%,417.7%,417.7%,46,11.7K,32.8K,33.17,76,30min,25.23%,0%,-,,2024-11-16 05:45:15
94,sci/acc,87LL58GQGADysM94adrtVPynjbPDGYET31DyuHbSpump,60.27%,206%,206%,50,3.6K,19.9K,23.63,56,20d,27.19%,0%,-,,2024-11-16 05:45:15
95,Trump DNA,8rU1uzLKH5qoe2Swi5qQ67Y2MFPQhjpuR8A7C5xnpump,74.09%,524.6%,524.6%,97,10.1K,38.8K,42.45,166,32min,21.27%,0.08% Buy More,-,,2024-11-16 05:45:15
96,MIRAGE,HNsMU6kwSJCLmozzfPPXWDyzoFMsJ3JAYkpzQWU5pump,47.12%,625.9%,625.9%,194,8.2K,45.8K,52.92,105,30min,31.48%,0%,-,,2024-11-16 05:45:15
97,Baby Peanut,2NdVT9iYQQfGE5vjNkCDTFiWijDwxqHAx4A9PeP7pump,16.26%,68.39%,236.4%,68,23.5K,834.4K,323.6,1485,9d,24.49%,0.01% Sell Part,-,https://t.me/ctobabyp,2024-11-16 05:45:15
98,First Kzl Meme,HzGuAG2pd3ySnPA7e5Q8tXUdws9TMH7QBngqR5dkpump,152.7%,2789%,2789%,156,52.6K,189.7K,79.01,377,3s,21.96%,0%,-,,2024-11-16 05:45:15
99,TORU,9Uzuijoyb3XM9sSSqsv248SQd3sXrZbnkT59mHHKpump,49.83%,54.84%,2008.5%,253,33.3K,131.1K,94.44,532,1h,21.53%,0.21%,-,https://t.me/torutorutorusol,2024-11-16 05:45:15
100,killer whale 👁️⃤🐋,EHp1uBGGpZYGAardMJPNUQX4Mswq4TT4seC3oQ9qpump,88.68%,123.6%,383.1%,101,8.4K,30.8K,35.86,122,2h,28.78%,3.8% Buy More,-,,2024-11-16 05:45:15
101,BITDNA,e19r3f69avfrdY8xnEyJZe497kWumhSw43J7X4Rpump,19.99%,1248.9%,1248.9%,280,27.5K,87.9K,78.88,452,31min,18.76%,0%,-,,2024-11-16 05:45:15
102,DeSci,EpLf1dj9TohDREFwiBrPiLkeRfBXF3xEAg75Z5xMpump,234.2%,293%,401.4%,74,15.9K,31.7K,30.04,19,12d,39.07%,0%,-,,2024-11-16 05:45:15
103,$̴̟́,hons1soyNMCFWU3w3Do5ii8zaJxDsM3vS81b6DFpump,23.13%,124.8%,213.6%,94,1.4K,19.4K,23.44,93,3h,24.88%,0.42% Buy More,-,,2024-11-16 05:45:15
104,Shadow Wizard Money Gang,GmAkQADG3VThCssKw6hkFZmhjhcnJFRY4aG5EFUCpump,129.2%,134.1%,193.1%,55,17.5K,104.1K,60.86,248,17h,24.64%,2.47% Buy More,-,https://t.me/SWMG_NUKE,2024-11-16 05:45:15
105,Secret,CS6tTngFYqgbYpP3KSQ71Fk49UMtcXdgDuNmf57ipump,50.15%,239%,239%,218,9.7K,21.8K,24.04,124,58min,25.93%,0%,-,,2024-11-16 05:45:15
106,SOLANA DNA,3EdqYY1yieaxKt5YDuv3Mcosf5gHo66Vjiw88HSApump,73.98%,230.9%,230.9%,33,3.3K,20.5K,23.35,49,42min,25.1%,0%,-,,2024-11-16 05:45:15
107,Quercetin,2rMueTh9WpPdbyCatYRh4HD4YxEz9v3LC7yGyJj5pump,215.1%,215.1%,215.1%,47,8.9K,21.2K,24.07,23,55d,44.76%,0%,-,,2024-11-16 05:45:15
108,The AI Scientist,XHtiFrwVRjWTkAbt7hbCXYjy9cdApGdRzYoodYipump,136.9%,263%,262.5%,134,9.8K,22.9K,27.61,123,1h,23.11%,0%,-,,2024-11-16 05:45:15
109,BTCH,Hq9hEaCZGPGtyfvMKtGVqA8PHHZ2XpQhgt6PBUgzpump,105.4%,145.5%,209.8%,64,29.4K,396.4K,129.32,258,14d,30.32%,3.13%,-,,2024-11-16 05:45:15
110,GlyT-1 Inhibitors,85Ya5aLk7ueVcXDSRV2sxVpSvZHZvckBGsCQZg8RJNBM,11.84%,42.15%,543.3%,16,7.9K,41.9K,48.04,57,1h,38.66%,0%,-,,2024-11-16 05:45:15
111,Urolithin A,7iVpsWVUxDSRgup6m1uXTyBJRA2PCxf1jb6yUtPapump,165.5%,100.6%,266.9%,72,6.4K,22.6K,25.38,28,3h,35.6%,0%,-,,2024-11-16 05:45:15
112,Original Binance Coin,CuiTpACSDZ256gGzQshZpE7jj5NQmczvEfeSXisLpump,37.59%,906.1%,906.1%,48,5.7K,64.5K,66.51,237,30min,27.23%,0%,-,,2024-11-16 05:45:15
113,MITO,CQLTGxNPto1BRw2QKsxHYHpUughqc5LrZs2VUN4qpump,17.24%,97.94%,164.5%,8,1K,18.9K,22.97,61,1h,33.58%,13.59% Add Liquidity,-,,2024-11-16 05:45:15
114,AI Designs DNA,ATk1j3hDPfn9YsTbqquFNa1CjVqzsvaTiNViKYuYpump,90.28%,1803.4%,1803.4%,415,93.6K,121.9K,79.01,334,2min,24.92%,0%,-,,2024-11-16 05:45:15
115,DeSci,69vW9t7Nh9bt9fFR9sSPN2HudXYJH6bwMu7yq3b4pump,408.6%,3650%,3650%,1148,300.2K,252.4K,92.77,667,7min,18.57%,0.31% Buy More,-,,2024-11-16 05:45:15
116,VD001,BvvtcUkDb2yVu9ujPBDwCjJZjGjdN27mqieKX85apump,156.8%,279.8%,281.4%,38,9.8K,23.7K,23.02,23,2h,33.67%,0%,-,,2024-11-16 05:45:15
117,on-chain dog,ErLgL6mUEw7eFQaiqmKjdNtbpJ3s9gLY5RfRMzKMpump,264.3%,264.3%,264.3%,122,14.8K,23K,23.97,49,15d,24.85%,0%,-,,2024-11-16 05:45:15
118,baby numogram,7EjEk28icGW4BK5ucdB5Nxoa5VAAZyanEGwXSw1tpump,1744%,1744%,1744%,117,58.3K,119.3K,79.01,19,3s,26.06%,0%,-,,2024-11-16 05:45:15
119,Mike Tyson,9xsqFXQvjU3A9QuRhCEi9hzfSXFH7hQxyCvUDgWxpump,19.29%,935.4%,935.4%,11,3.1K,242.5K,131.02,1182,50min,9.1%,0%,-,,2024-11-16 05:45:15
120,CZ PUNK,J1bAdKKqzT6c9i6LKkFZmoFu4QggYBtsp3heJGuFpump,41.35%,235.6%,235.6%,28,4.3K,21.3K,26.06,69,41min,26.1%,0%,-,,2024-11-16 05:45:15
