row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,message_timestamp,timestamp,fdv_surge_amount,fdv_surge_percent
25,Scott Bessent,Bh3qipvCMm8vS2UbnmCMje7Qiow7KHCHDXsdJnDonUSa,30.59%,-64.49%,-81.55%,523,112.8K,2.2M,551.5,22261,13h,1.17%,0.04% Add Liquidity,-,https://t.me/Scott_Bessent_Portal,2024-11-20 20:10:29,2024-11-24 05:13:18,508.3K,+30.59%
26,International Space Station,Efd19UdYQ2iZcvzkZ379hJ6ogmhz5XuPdtD7mt6oj2iC,31.54%,-71.57%,-92.96%,673,89.4K,1.2M,562.23,17376,9h,3.86%,0.01% Add Liquidity,-,https://t.me/ISS_Portal,2024-11-20 06:51:50,2024-11-24 05:13:18,291.4K,+31.57%
27,TeaRex,8LYEAjpNGQshctKr6EBzVCR9qFiSTHWzkFxCt4skMWRe,30.23%,-59.97%,-94.47%,791,54.9K,528.8K,234,16505,18h,2.16%,0% Add Liquidity,-,https://t.me/TeaRex_Portal,2024-11-20 06:48:38,2024-11-24 05:13:18,122.7K,+30.23%
28,Jino,Fkvs6ec6wNP8soFpbP1cRToLTjDfXju43o3xn9BMoruH,123.5%,54.91%,-86%,507,320.3K,1.5M,810.86,32167,1d,3.86%,0% Add Liquidity,-,https://t.me/Jino_Official_Portal,2024-11-19 23:48:35,2024-11-24 05:13:18,820.2K,+123.5%
29,Agent P,6MG3ppjpYX9jrzLLVcSQGhY8dH6rYXRSSrimGWVmvb6T,44.3%,-62.12%,-53.22%,506,103.4K,1.4M,375.26,12735,6h,1.7%,0% Add Liquidity,-,https://t.me/AGENTP_Official_Portal,2024-11-19 19:51:56,2024-11-24 05:13:18,439.6K,+44.3%
30,Agent P,6MG3ppjpYX9jrzLLVcSQGhY8dH6rYXRSSrimGWVmvb6T,48.99%,-47.67%,984.2%,650,183.5K,2.9M,441.1,12052,5h,2%,0% Add Liquidity,-,https://t.me/AGENTP_Official_Portal,2024-11-19 18:33:09,2024-11-24 05:13:18,961.5K,+48.99%
31,Satoshiwifhat,4BbZHY4THRZtJUUj8QLcD6wk8NEQtUNtTFBszxCkTk2H,46.42%,64.78%,-60.14%,1794,477.8K,4.5M,826.52,15191,1d,2.26%,0% Add Liquidity,-,https://t.me/Satoshiwifhat_Portal,2024-11-19 18:09:47,2024-11-24 05:13:18,1.5,+48.32%
32,Pepenut,CjryfVv6A1TwXTdeCt8ZaZMTUWndW9BVKq3XovwyPD43,32.97%,-14.18%,-92.12%,784,90.4K,704.9K,407.93,7516,13h,1.75%,0.03% Add Liquidity,-,https://t.me/Pepenut_Portal,2024-11-19 18:01:07,2024-11-24 05:13:18,174.8K,+32.97%
33,Satoshiwifhat,4BbZHY4THRZtJUUj8QLcD6wk8NEQtUNtTFBszxCkTk2H,34.43%,-66.22%,-66.94%,1470,323.9K,2.8M,655.48,22397,1d,2.24%,0% Add Liquidity,-,https://t.me/Satoshiwifhat_Portal,2024-11-19 17:29:50,2024-11-24 05:13:18,766.9K,+37.42%
34,Pepenut,CjryfVv6A1TwXTdeCt8ZaZMTUWndW9BVKq3XovwyPD43,38.94%,-56.28%,-91.6%,1187,64.9K,436.2K,302.78,11841,13h,2.94%,0.03% Add Liquidity,-,https://t.me/Pepenut_Portal,2024-11-19 17:29:05,2024-11-24 05:13:18,108.6K,+34.13%
35,Satoshiwifhat,4BbZHY4THRZtJUUj8QLcD6wk8NEQtUNtTFBszxCkTk2H,37.58%,-54.75%,-48.04%,734,333.4K,4.6M,809.82,28609,1d,1.27%,0% Add Liquidity,-,https://t.me/Satoshiwifhat_Portal,2024-11-19 16:52:31,2024-11-24 05:13:18,1.3,+37.58%
36,Inuminati,26WeYmFfGTfa42TSrUxrDVQygJYH3Amey3MPE8nN2oEV,34.08%,38.69%,-21.59%,549,514.4K,4.6M,747.01,16604,23h,0.66%,0% Add Liquidity,-,https://t.me/Inuminati_Portal,2024-11-19 13:29:50,2024-11-24 05:13:18,1.2,+34.08%
37,Inuminati,26WeYmFfGTfa42TSrUxrDVQygJYH3Amey3MPE8nN2oEV,55.94%,43.13%,-32.17%,503,418K,3.9M,651.96,15628,23h,1.03%,0% Add Liquidity,-,https://t.me/Inuminati_Portal,2024-11-19 12:56:06,2024-11-24 05:13:18,1.4,+55.94%
38,Inuminati,26WeYmFfGTfa42TSrUxrDVQygJYH3Amey3MPE8nN2oEV,292.7%,35.38%,-57.63%,604,784.1K,4.2M,530.43,14789,22h,1.29%,0% Add Liquidity,-,https://t.me/Inuminati_Portal,2024-11-19 12:24:04,2024-11-24 05:13:18,3.1,+292.7%
39,Inuminati,26WeYmFfGTfa42TSrUxrDVQygJYH3Amey3MPE8nN2oEV,32.9%,14.6%,-74.3%,916,228.6K,2.9M,594.21,16387,22h,1.74%,0% Add Liquidity,-,https://t.me/Inuminati_Portal,2024-11-19 11:53:58,2024-11-24 05:13:18,714.4K,+32.9%
40,Satoshiwifhat,4BbZHY4THRZtJUUj8QLcD6wk8NEQtUNtTFBszxCkTk2H,31.16%,-62.12%,-74.24%,538,165.1K,5M,864.51,28776,17h,0.76%,0% Add Liquidity,-,https://t.me/Satoshiwifhat_Portal,2024-11-19 10:02:51,2024-11-24 05:13:18,1.2,+31.16%
41,FTX Mascot,J9EGTp5zqDXhaDxdyhxLZ5ETmoQabtprcQABvQGHN6RK,32.83%,-6.77%,-9%,728,321.3K,1.7M,887.22,11468,1d,1.21%,0% Add Liquidity,-,https://t.me/MOONMAN_PORTAL,2024-11-19 07:44:37,2024-11-24 05:13:18,422K,+32.83%
42,FTX Mascot,J9EGTp5zqDXhaDxdyhxLZ5ETmoQabtprcQABvQGHN6RK,32.77%,-24.94%,-48.62%,699,359.1K,1.8M,876.13,10945,1d,0.93%,0% Add Liquidity,-,https://t.me/MOONMAN_PORTAL,2024-11-19 05:32:58,2024-11-24 05:13:18,434.6K,+32.77%
43,FTX Mascot,J9EGTp5zqDXhaDxdyhxLZ5ETmoQabtprcQABvQGHN6RK,29.58%,-14.2%,-36.88%,683,349.2K,2M,908.77,10043,1d,1.99%,0% Add Liquidity,-,https://t.me/MOONMAN_PORTAL,2024-11-19 03:42:06,2024-11-24 05:13:18,492.3K,+33.13%
44,Bitcoin Mascot,FaDQpUC4rcbUWonVmN6nULcWQnEDqk8RzWBfaanVt5N9,40.5%,-38.91%,-84.76%,598,342.6K,2.6M,995.89,20652,1d,1.39%,0% Add Liquidity,-,https://t.me/Bitcoin_Mascot_Portal,2024-11-19 01:08:27,2024-11-24 05:13:18,743.2K,+40.5%
45,Mary Nacy,AMTxEDhm1Tw9pb6NZyHbDizVBk3LbvzvhjNa6WUaCgt,34.85%,-54.15%,-88.75%,756,281.7K,4.6M,990.93,25287,19h,1.09%,Add Liquidity,-,https://t.me/Mary_Nacy_Portal,2024-11-24 06:03:07,2024-11-24 05:13:18,1.2,+34.85%
46,Bella,3Wd97ZLMAMmkXDPv6coPST1SWbHEm4RGk9Gcsrqopump,51.11%,1345.8%,1345.8%,1312,295.6K,394.3K,170.21,773,34min,3.97%,0%,-,,2024-11-24 09:38:46,2024-11-24 05:13:18,142.9K,+54.78%
47,Suilor Moon,2pNZUEPyDcmQX2cHG5AtAdMW8zprTkoaosN13RuSpump,59.51%,1811.4%,1811.4%,1140,225.2K,519.9K,192.24,579,33min,3.97%,0%,-,,2024-11-24 10:57:22,2024-11-24 05:13:18,193.9K,+59.51%
